county,code,white_pop,rank
"Forsyth County, NC",37067,"242,803",209
"Madison County, AL",1089,"240,861",210
"Gloucester County, NJ",34015,"238,509",211
"San Luis Obispo County, CA",6079,"238,145",212
"Fayette County, KY",21067,"236,242",213
"Albany County, NY",36001,"235,711",214
"Lubbock County, TX",48303,"235,352",215
"Mercer County, NJ",34021,"235,205",216
"Madison County, IL",17119,"235,054",217
"Osceola County, FL",12097,"234,781",218
"Dutchess County, NY",36027,"233,311",219
"Rutherford County, TN",47149,"229,831",220
"Rockland County, NY",36087,"228,430",221
"Solano County, CA",6095,"227,173",222
"Winnebago County, IL",17201,"227,040",223
"Chesterfield County, VA",51041,"226,791",224
"Pulaski County, AR",5119,"226,711",225
"Somerset County, NJ",34035,"225,368",226
"Buncombe County, NC",37021,"222,134",227
"Lexington County, SC",45063,"221,685",228
"New London County, CT",9011,"221,407",229
"Brown, WI",55009,"220,790",230
"Thurston County, WA",53067,"219,735",231
"Cumberland County, PA",42041,"217,203",232
"Benton County, AR",5007,"216,485",233
"St. Lucie County, FL",12111,"216,152",234
"Washington County, MN",27163,"216,007",235
"Weber County, UT",49057,"215,502",236
"Spartanburg County, SC",45083,"215,472",237
"Santa Cruz County, CA",6087,"214,929",238
"Cleveland County, OK",40027,"214,323",239
"Jefferson County, MO",29099,"214,052",240
"Ingham County, MI",26065,"214,036",241
"East Baton Rouge Parish, LA",22033,"214,016",242
"Bell County, TX",48027,"213,137",243
"Escambia County, FL",12033,"212,494",244
"St. Joseph County, IN",18141,"211,802",245
"Lake County, OH",39085,"211,270",246
"Kalamazoo County, MI",26077,"210,867",247
"Saratoga County, NY",36091,"210,462",248
"Kitsap County, WA",53035,"210,358",249
"Honolulu County, HI",15003,"208,830",250
"St. Tammany Parish, LA",22103,"206,165",251
"Marin County, CA",6041,"204,928",252
"Clay County, MO",29047,"201,570",253
"Yavapai County, AZ",4025,"201,048",254
"Oneida County, NY",36065,"200,237",255
"Cherokee County, GA",13057,"200,053",256
"Harford County, MD",24025,"199,268",257
"Warren County, OH",39165,"198,434",258
"Barnstable County, MA",25001,"198,374",259
"Frederick County, MD",24021,"197,960",260
"Lackawanna County, PA",42069,"197,017",261
"Washington County, PA",42125,"195,449",262
"Linn County, IA",19113,"195,251",263
"Dauphin County, PA",42043,"195,198",264
"St. Johns County, FL",12109,"194,915",265
"Yakima County, WA",53077,"194,173",266
"Jackson County, OR",41029,"192,714",267
"York County, ME",23031,"192,652",268
"Anchorage Borough, AK",2020,"192,329",269
"Clermont County, OH",39025,"191,898",270
"Dona Ana County, NM",35013,"190,289",271
"Baltimore City County, MD",24510,"187,894",272
"Niagara County, NY",36063,"187,520",273
"McLennan County, TX",48309,"187,257",274
"Mahoning County, OH",39099,"186,987",275
"Henrico County, VA",51087,"186,820",276
"Richland County, SC",45079,"186,244",277
"Butte County, CA",6007,"186,105",278
"St. Louis County, MN",27137,"185,370",279
"Atlantic County, NJ",34001,"184,371",280
"York County, SC",45091,"184,220",281
"Williamson County, TN",47187,"184,114",282
"Howard County, MD",24027,"183,599",283
"Mohave County, AZ",4015,"182,395",284
"Trumbull County, OH",39155,"181,833",285
"Canyon County, ID",16027,"180,258",286
"Livingston County, MI",26093,"179,295",287
"Butler County, PA",42019,"178,887",288
"Alachua County, FL",12001,"178,684",289
"Union County, NC",37179,"177,613",290
"Whatcom County, WA",53073,"177,367",291
"Leon County, FL",12073,"176,962",292
"Elkhart County, IN",18039,"176,160",293
"New Hanover County, NC",37129,"175,310",294
"Prince George's County, MD",24033,"173,881",295
"Sussex County, DE",10005,"172,791",296
"Litchfield County, CT",9005,"172,643",297
"Baldwin County, AL",1003,"172,441",298
"St. Clair County, IL",17163,"172,396",299
"Washington County, AR",5143,"172,215",300
"Forsyth County, GA",13117,"171,379",301
"Broome County, NY",36007,"170,517",302
"Smith County, TX",48423,"168,400",303
"Kanawha County, WV",54039,"168,005",304
"Medina County, OH",39103,"167,895",305
"Delaware County, OH",39041,"167,734",306
"Shelby County, AL",1117,"167,257",307
