county,code,per_cap_income,rank
"Teton County, WY",56039,"$199,635 ",1
"Shackelford County, TX",48417,"$162,378 ",2
"New York County, NY",36061,"$156,048 ",3
"Pitkin County, CO",8097,"$128,738 ",4
"Marin County, CA",6041,"$115,952 ",5
"Wheeler County, NE",31183,"$113,939 ",6
"San Francisco County, CA",6075,"$110,418 ",7
"Summit County, UT",49043,"$108,675 ",8
"Nantucket County, MA",25019,"$108,443 ",9
"Fairfield County, CT",9001,"$106,666 ",10
"San Mateo County, CA",6081,"$105,721 ",11
"Midland County, TX",48329,"$105,486 ",12
"McMullen County, TX",48311,"$104,531 ",13
"Union County, SD",46127,"$98,329 ",14
"Westchester County, NY",36119,"$94,140 ",15
"Blaine County, ID",16013,"$92,495 ",16
"Glasscock County, TX",48173,"$91,765 ",17
"Williamson County, TN",47187,"$90,979 ",18
"Somerset County, NJ",34035,"$90,268 ",19
"Morris County, NJ",34027,"$89,065 ",20
"Santa Clara County, CA",6085,"$88,920 ",21
"Arlington County, VA",51013,"$87,986 ",22
"Goochland County, VA",51075,"$87,084 ",23
"Collier County, FL",12021,"$84,101 ",24
"Alexandria Independent City, VA",51510,"$83,167 ",25
"Hunterdon County, NJ",34019,"$82,109 ",26
"Norfolk County, MA",25021,"$81,948 ",27
"Dukes County, MA",25007,"$81,932 ",28
"Montgomery County, MD",24031,"$80,967 ",29
"Alpine County, CA",6003,"$80,810 ",30
"Nassau County, NY",36059,"$79,314 ",31
"Billings County, ND",38007,"$78,609 ",32
"Skagway Borough, AK",2230,"$77,977 ",33
"Williams County, ND",38105,"$77,847 ",34
"King County, WA",53033,"$77,213 ",35
"Bergen County, NJ",34003,"$77,187 ",36
"Kendall County, TX",48259,"$77,002 ",37
"Turner County, SD",46125,"$76,806 ",38
"Benton County, AR",5007,"$76,554 ",39
"Lane County, KS",20101,"$76,238 ",40
"Kearney County, NE",31099,"$76,225 ",41
"Potter County, SD",46107,"$76,181 ",42
"District of Columbia, DC",11001,"$76,108 ",43
"Fairfax County, VA",51059,"$75,978 ",44
"San Miguel County, CO",8113,"$75,876 ",45
"Middlesex County, MA",25017,"$75,869 ",46
"Chester County, PA",42029,"$75,281 ",47
"Wichita County, KS",20203,"$75,038 ",48
"Monroe County, FL",12087,"$74,230 ",49
"Fulton County, GA",13121,"$74,095 ",50
"Ozaukee, WI",55089,"$73,944 ",51
"Hemphill County, TX",48211,"$73,671 ",52
"Martin County, FL",12085,"$73,296 ",53
"Broomfield County, CO",8014,"$73,129 ",54
"Lake County, IL",17097,"$72,956 ",55
"Montgomery County, PA",42091,"$72,780 ",56
"Gray County, KS",20069,"$72,762 ",57
"Stark County, ND",38089,"$72,605 ",58
"Palm Beach County, FL",12099,"$71,946 ",59
"Howard County, MD",24027,"$71,869 ",60
"Monmouth County, NJ",34025,"$71,237 ",61
"Loudoun County, VA",51107,"$71,218 ",62
"Routt County, CO",8107,"$71,167 ",63
"Contra Costa County, CA",6013,"$70,840 ",64
"Keya Paha County, NE",31103,"$70,751 ",65
"Bristol County, RI",44001,"$70,504 ",66
"Cuming County, NE",31039,"$70,495 ",67
"Dunn County, ND",38025,"$69,651 ",68
"Denali Borough, AK",2068,"$69,535 ",69
"San Juan County, WA",53055,"$69,155 ",70
"Natrona County, WY",56025,"$69,087 ",71
"Suffolk County, MA",25025,"$68,598 ",72
"Indian River County, FL",12061,"$68,491 ",73
"Hennepin County, MN",27053,"$67,427 ",74
"Denver County, CO",8031,"$67,256 ",75
"Hamilton County, IN",18057,"$67,191 ",76
"Douglas County, CO",8035,"$67,139 ",77
"Talbot County, MD",24041,"$66,971 ",78
"Burke County, ND",38013,"$66,712 ",79
"Delaware County, OH",39041,"$66,532 ",80
"DuPage County, IL",17043,"$66,072 ",81
"Johnson County, KS",20091,"$66,063 ",82
"Bucks County, PA",42017,"$65,895 ",83
"Alameda County, CA",6001,"$65,884 ",84
"Napa County, CA",6055,"$65,805 ",85
"Steele County, ND",38091,"$65,780 ",86
"Barnstable County, MA",25001,"$65,770 ",87
"Oakland County, MI",26125,"$65,759 ",88
"Boone County, IN",18011,"$65,716 ",89
"Waukesha, WI",55133,"$65,522 ",90
"Douglas County, NV",32005,"$65,495 ",91
"Los Alamos County, NM",35028,"$65,494 ",92
"Sargent County, ND",38081,"$65,443 ",93
"Rockingham, NH",33015,"$65,396 ",94
"Dundy County, NE",31057,"$64,873 ",95
"Eagle County, CO",8037,"$64,581 ",96
"Carver County, MN",27019,"$64,473 ",97
"Rock County, NE",31149,"$64,463 ",98
"Hansford County, TX",48195,"$64,374 ",99
"McKenzie County, ND",38053,"$64,369 ",100
"Bristol Bay Borough, AK",2060,"$64,069 ",101
"Irion County, TX",48235,"$63,937 ",102
"Cavalier County, ND",38019,"$63,889 ",103
"Fauquier County, VA",51061,"$63,854 ",104
"Boulder County, CO",8013,"$63,707 ",105
"Grant County, SD",46051,"$63,632 ",106
"Haskell County, KS",20081,"$63,496 ",107
"Mercer County, NJ",34021,"$63,237 ",108
"Ketchikan Gateway Borough, AK",2130,"$63,222 ",109
"Lincoln County, SD",46083,"$63,203 ",110
"Juneau Borough, AK",2110,"$63,070 ",111
"Sioux County, NE",31165,"$62,909 ",112
"Scott County, KS",20171,"$62,849 ",113
"Middlesex County, CT",9007,"$62,833 ",114
"St. Louis County, MO",29189,"$62,777 ",115
"Petersburg Borough, AK",2195,"$62,773 ",116
"Sitka Borough, AK",2220,"$62,537 ",117
"Stanley County, SD",46117,"$62,522 ",118
"Mineral County, CO",8079,"$62,466 ",119
"Anne Arundel County, MD",24003,"$62,404 ",120
"Anchorage Borough, AK",2020,"$62,317 ",121
"Saratoga County, NY",36091,"$62,295 ",122
"Orange County, CA",6059,"$62,071 ",123
"Foster County, ND",38031,"$61,917 ",124
"Meade County, KS",20119,"$61,880 ",125
"Mountrail County, ND",38061,"$61,809 ",126
"Union County, NJ",34039,"$61,808 ",127
"Geauga County, OH",39055,"$61,456 ",128
"Essex County, MA",25009,"$61,442 ",129
"St. Johns County, FL",12109,"$61,423 ",130
"Newport County, RI",44005,"$61,367 ",131
"Valdez-Cordova Borough, AK",2261,"$61,337 ",132
"Banner County, NE",31007,"$61,317 ",133
"El Dorado County, CA",6017,"$61,206 ",134
"Collin County, TX",48085,"$61,179 ",135
"Dallas County, IA",19049,"$61,159 ",136
"Albemarle County, VA",51003,"$60,964 ",137
"Essex County, NJ",34013,"$60,887 ",138
"Suffolk County, NY",36103,"$60,856 ",139
"Hayes County, NE",31085,"$60,719 ",140
"Plymouth County, MA",25023,"$60,691 ",141
"Hanson County, SD",46061,"$60,596 ",142
"LaMoure County, ND",38045,"$60,586 ",143
"Adams County, IA",19003,"$60,450 ",144
"Placer County, CA",6061,"$60,360 ",145
"Aleutians East Borough, AK",2013,"$60,284 ",146
"Hancock County, OH",39063,"$60,143 ",147
"Cimarron County, OK",40025,"$60,101 ",148
"Leelanau County, MI",26089,"$59,943 ",149
"Hartford County, CT",9003,"$59,869 ",150
"Washington County, MN",27163,"$59,749 ",151
"Putnam County, NY",36079,"$59,693 ",152
"James City County, VA",51095,"$59,632 ",153
"Delaware County, PA",42045,"$59,594 ",154
"Litchfield County, CT",9005,"$59,568 ",155
"Phelps County, NE",31137,"$59,553 ",156
"Boone County, NE",31011,"$59,530 ",157
"Santa Cruz County, CA",6087,"$59,455 ",158
"Loup County, NE",31115,"$59,289 ",159
"Ochiltree County, TX",48357,"$59,176 ",160
"Clarke County, VA",51043,"$59,162 ",161
"Douglas County, NE",31055,"$59,061 ",162
"Slope County, ND",38087,"$59,048 ",163
"Sarasota County, FL",12115,"$59,013 ",164
"Henrico County, VA",51087,"$58,876 ",165
"Kodiak Island Borough, AK",2150,"$58,843 ",166
"Oconee County, GA",13219,"$58,811 ",167
"New Kent County, VA",51127,"$58,802 ",168
"Washington County, RI",44009,"$58,801 ",169
"Fillmore County, NE",31059,"$58,725 ",170
"Travis County, TX",48453,"$58,700 ",171
"Orange County, NC",37135,"$58,438 ",172
"Summit County, CO",8117,"$58,386 ",173
"Forsyth County, GA",13117,"$58,369 ",174
"Davidson County, TN",47037,"$58,283 ",175
"Cottle County, TX",48101,"$58,009 ",176
"Queen Anne's County, MD",24035,"$57,948 ",177
"Mercer County, ND",38057,"$57,946 ",178
"Madison County, MS",28089,"$57,932 ",179
"Kittson County, MN",27069,"$57,735 ",180
"Calvert County, MD",24009,"$57,688 ",181
"Carroll County, MD",24013,"$57,687 ",182
"McLean County, ND",38055,"$57,686 ",183
"Tulsa County, OK",40143,"$57,286 ",184
"Griggs County, ND",38039,"$57,131 ",185
"Dickey County, ND",38021,"$57,092 ",186
"Albany County, NY",36001,"$56,948 ",187
"Sully County, SD",46119,"$56,833 ",188
"Burlington County, NJ",34005,"$56,812 ",189
"Cherokee County, IA",19035,"$56,784 ",190
"Fayette County, GA",13113,"$56,759 ",191
"Worcester County, MD",24047,"$56,747 ",192
"Montgomery County, TX",48339,"$56,730 ",193
"Cook County, IL",17031,"$56,669 ",194
"Rappahannock County, VA",51157,"$56,573 ",195
"Sonoma County, CA",6097,"$56,567 ",196
"Blaine County, NE",31009,"$56,531 ",197
"Hillsborough, NH",33011,"$56,531 ",197
"Chittenden County, VT",50007,"$56,501 ",199
"Jefferson County, CO",8059,"$56,363 ",200
"Holt County, NE",31089,"$56,290 ",201
"Baltimore County, MD",24005,"$56,273 ",202
"Grafton, NH",33009,"$56,235 ",203
"Oldham County, KY",21185,"$56,222 ",204
"Nevada County, CA",6057,"$56,194 ",205
"Sussex County, NJ",34037,"$56,183 ",206
"Brown County, NE",31017,"$56,162 ",207
"O'Brien County, IA",19141,"$56,118 ",208
"Aleutians West Borough, AK",2016,"$56,105 ",209
"Frederick County, MD",24021,"$56,072 ",210
"Santa Barbara County, CA",6083,"$56,048 ",211
"Hudson County, NJ",34017,"$55,986 ",212
"Middlesex County, NJ",34023,"$55,980 ",213
"DeWitt County, TX",48123,"$55,956 ",214
"Pembina County, ND",38067,"$55,878 ",215
"Sherman County, OR",41055,"$55,846 ",216
"Thomas County, NE",31171,"$55,825 ",217
"Golden Valley County, ND",38033,"$55,808 ",218
"Ventura County, CA",6111,"$55,779 ",219
"Gillespie County, TX",48171,"$55,644 ",220
"Los Angeles County, CA",6037,"$55,624 ",221
"Burleigh County, ND",38015,"$55,587 ",222
"Hoonah-Angoon Borough, AK",2105,"$55,511 ",223
"Bowman County, ND",38011,"$55,486 ",224
"Hanover County, VA",51085,"$55,447 ",225
"Belknap, NH",33001,"$55,431 ",226
"Rockland County, NY",36087,"$55,407 ",227
"Door, WI",55029,"$55,336 ",228
"Stanton County, KS",20187,"$55,331 ",229
"Hamilton County, TX",48193,"$55,320 ",230
"Sherman County, TX",48421,"$55,319 ",231
"Lyon County, IA",19119,"$55,312 ",232
"Dane, WI",55025,"$55,232 ",233
"Garfield County, CO",8045,"$55,227 ",234
"Plymouth County, IA",19149,"$55,179 ",235
"Inyo County, CA",6027,"$55,171 ",236
"San Diego County, CA",6073,"$55,168 ",237
"Lipscomb County, TX",48295,"$55,113 ",238
"Hamilton County, KS",20075,"$55,099 ",239
"Pierce County, NE",31139,"$54,999 ",240
"Dakota County, MN",27037,"$54,975 ",241
"Cape May County, NJ",34009,"$54,865 ",242
"Yukon-Koyukuk Borough, AK",2290,"$54,850 ",243
"Kent County, RI",44003,"$54,832 ",244
"Dallam County, TX",48111,"$54,826 ",245
"Barnes County, ND",38003,"$54,810 ",246
"Allegheny County, PA",42003,"$54,796 ",247
"Nelson County, ND",38063,"$54,713 ",248
"Douglas County, SD",46043,"$54,674 ",249
"Kent County, MD",24029,"$54,641 ",250
"York County, VA",51199,"$54,592 ",251
"Morrill County, NE",31123,"$54,533 ",252
"Lake and Peninsula Borough, AK",2164,"$54,491 ",253
"Arapahoe County, CO",8005,"$54,452 ",254
"Lac qui Parle County, MN",27073,"$54,426 ",255
"Rockwall County, TX",48397,"$54,406 ",256
"Washington County, VT",50023,"$54,404 ",257
"Clear Creek County, CO",8019,"$54,374 ",258
"Grand Isle County, VT",50013,"$54,335 ",259
"Cumberland County, ME",23005,"$54,309 ",260
"Harford County, MD",24025,"$54,232 ",261
"Honolulu County, HI",15003,"$54,229 ",262
"Washington County, OR",41067,"$54,203 ",263
"Kidder County, ND",38043,"$54,188 ",264
"Osceola County, IA",19143,"$54,180 ",265
"Yakutat Borough, AK",2282,"$54,161 ",266
"Mecklenburg County, NC",37119,"$54,087 ",267
"Wake County, NC",37183,"$54,063 ",268
"Fort Bend County, TX",48157,"$54,005 ",269
"Gove County, KS",20063,"$53,954 ",270
"Dillingham Borough, AK",2070,"$53,923 ",271
"New London County, CT",9011,"$53,885 ",272
"Cass County, ND",38017,"$53,662 ",273
"Wells County, ND",38103,"$53,652 ",274
"Fairbanks North Star Borough, AK",2090,"$53,647 ",275
"Dickinson County, IA",19059,"$53,622 ",276
"Chase County, NE",31029,"$53,606 ",277
"Charles County, MD",24017,"$53,593 ",278
"Hartley County, TX",48205,"$53,566 ",279
"Ward County, ND",38101,"$53,545 ",280
"Yellow Medicine County, MN",27173,"$53,519 ",281
"Carroll, NH",33003,"$53,462 ",282
"Hamilton County, OH",39061,"$53,456 ",283
"Virginia Beach Independent City, VA",51810,"$53,432 ",284
"Ransom County, ND",38073,"$53,413 ",285
"Thayer County, NE",31169,"$53,386 ",286
"Platte County, MO",29165,"$53,381 ",287
"Merrimack, NH",33013,"$53,359 ",288
"Merrick County, NE",31121,"$53,353 ",289
"McPherson County, NE",31117,"$53,349 ",290
"Chatham County, NC",37037,"$53,342 ",291
"Comal County, TX",48091,"$53,333 ",292
"Scott County, MN",27139,"$53,325 ",293
"Traverse County, MN",27155,"$53,319 ",294
"Lake County, SD",46079,"$53,278 ",295
"Charleston County, SC",45019,"$53,272 ",296
"Lander County, NV",32015,"$53,264 ",297
"Clark County, KS",20025,"$53,215 ",298
"Windsor County, VT",50027,"$53,186 ",299
"St. Mary's County, MD",24037,"$53,166 ",300
"Gooding County, ID",16047,"$53,068 ",301
"Wilkin County, MN",27167,"$53,057 ",302
"Cerro Gordo County, IA",19033,"$53,035 ",303
"Murray County, MN",27101,"$53,013 ",304
"Mitchell County, KS",20123,"$53,007 ",305
"Warren County, OH",39165,"$52,957 ",306
"Custer County, NE",31041,"$52,938 ",307
"Richland County, MT",30083,"$52,929 ",308
"Sheridan County, KS",20179,"$52,887 ",309
"Nemaha County, KS",20131,"$52,882 ",310
"Yuma County, CO",8125,"$52,835 ",311
"Washington County, PA",42125,"$52,834 ",312
"Washtenaw County, MI",26161,"$52,814 ",313
"Dallas County, TX",48113,"$52,784 ",314
"Butler County, PA",42019,"$52,698 ",315
"Walton County, FL",12131,"$52,662 ",316
"New Haven County, CT",9009,"$52,603 ",317
"Edwards County, KS",20047,"$52,591 ",318
"Hamilton County, NY",36041,"$52,576 ",319
"Olmsted County, MN",27109,"$52,571 ",320
"Tolland County, CT",9013,"$52,466 ",321
"Harris County, TX",48201,"$52,452 ",322
"Monterey County, CA",6053,"$52,448 ",323
"Bottineau County, ND",38009,"$52,435 ",324
"Treasure County, MT",30103,"$52,325 ",325
"Worcester County, MA",25027,"$52,320 ",326
"Monroe County, IL",17133,"$52,318 ",327
"Cheyenne County, NE",31033,"$52,314 ",328
"Kearny County, KS",20093,"$52,306 ",329
"Berkshire County, MA",25003,"$52,288 ",330
"Sheridan County, WY",56033,"$52,286 ",331
"King George County, VA",51099,"$52,212 ",332
"St. Tammany Parish, LA",22103,"$52,109 ",333
"Logan County, ND",38047,"$52,089 ",334
"Sterling County, TX",48431,"$52,067 ",335
"Washington, WI",55131,"$52,051 ",336
"Renville County, ND",38075,"$52,005 ",337
"Nassau County, FL",12089,"$51,924 ",338
"Divide County, ND",38023,"$51,906 ",339
"Montour County, PA",42093,"$51,877 ",340
"Lancaster County, VA",51103,"$51,821 ",341
"Traill County, ND",38097,"$51,811 ",342
"Livingston County, MI",26093,"$51,722 ",343
"Philadelphia County, PA",42101,"$51,645 ",344
"Bath County, VA",51017,"$51,519 ",345
"Multnomah County, OR",41051,"$51,508 ",346
"Santa Fe County, NM",35049,"$51,461 ",347
"Warren County, NJ",34041,"$51,454 ",348
"San Luis Obispo County, CA",6079,"$51,442 ",349
"Richmond County, NY",36085,"$51,427 ",350
"Walsh County, ND",38099,"$51,407 ",351
"Cumberland County, PA",42041,"$51,384 ",352
"Clackamas County, OR",41005,"$51,379 ",353
"Mathews County, VA",51115,"$51,336 ",354
"Denton County, TX",48121,"$51,332 ",355
"Cobb County, GA",13067,"$51,308 ",356
"Hot Springs County, WY",56017,"$51,302 ",357
"Redwood County, MN",27127,"$51,227 ",358
"Isle of Wight County, VA",51093,"$51,213 ",359
"Cedar County, NE",31027,"$51,207 ",360
"Kiowa County, CO",8061,"$51,194 ",361
"Converse County, WY",56009,"$51,182 ",362
"Stafford County, VA",51179,"$51,177 ",363
"Minnehaha County, SD",46099,"$51,167 ",364
"Prince William County, VA",51153,"$51,164 ",365
"Richmond Independent City, VA",51760,"$51,160 ",366
"Eastland County, TX",48133,"$51,152 ",367
"Moultrie County, IL",17139,"$51,145 ",368
"Antelope County, NE",31003,"$51,137 ",369
"La Plata County, CO",8067,"$51,117 ",370
"Kenton County, KY",21117,"$51,115 ",371
"Beadle County, SD",46005,"$51,081 ",372
"New Castle County, DE",10003,"$51,034 ",373
"Kandiyohi County, MN",27067,"$51,006 ",374
"Ouray County, CO",8091,"$51,000 ",375
"Columbia County, NY",36021,"$50,935 ",376
"Ness County, KS",20135,"$50,894 ",377
"Ellis County, OK",40045,"$50,893 ",378
"Elbert County, CO",8039,"$50,865 ",379
"Pipestone County, MN",27117,"$50,828 ",380
"Iowa County, IA",19095,"$50,821 ",381
"Stutsman County, ND",38093,"$50,790 ",382
"Emmons County, ND",38029,"$50,733 ",383
"Deuel County, SD",46039,"$50,703 ",384
"Kenai Peninsula Borough, AK",2122,"$50,691 ",385
"Shelby County, IA",19165,"$50,667 ",386
"Haines Borough, AK",2100,"$50,667 ",386
"Floyd County, IN",18043,"$50,648 ",388
"Cheyenne County, CO",8017,"$50,622 ",389
"Pocahontas County, IA",19151,"$50,549 ",390
"Chickasaw County, IA",19037,"$50,537 ",391
"Renville County, MN",27129,"$50,529 ",392
"Hutchinson County, SD",46067,"$50,502 ",393
"Powhatan County, VA",51145,"$50,490 ",394
"Washington County, NE",31177,"$50,465 ",395
"Cherry County, NE",31031,"$50,438 ",396
"Vilas, WI",55125,"$50,437 ",397
"Shelby County, AL",1117,"$50,421 ",398
"Hamilton County, NE",31081,"$50,416 ",399
"Medina County, OH",39103,"$50,373 ",400
"Mills County, IA",19129,"$50,325 ",401
"Carter County, MT",30011,"$50,296 ",402
"Emmet County, MI",26047,"$50,256 ",403
"Nome Borough, AK",2180,"$50,254 ",404
"McHenry County, IL",17111,"$50,252 ",405
"Park County, WY",56029,"$50,212 ",406
"Big Stone County, MN",27011,"$50,210 ",407
"Fayette County, TN",47047,"$50,209 ",408
"Dutchess County, NY",36027,"$50,132 ",409
"Palo Alto County, IA",19147,"$50,089 ",410
"Beaufort County, SC",45013,"$50,078 ",411
"Franklin County, MA",25011,"$50,037 ",412
"Perkins County, NE",31135,"$50,035 ",413
"Dubois County, IN",18037,"$50,032 ",414
"Cuyahoga County, OH",39035,"$50,023 ",415
"Gloucester County, NJ",34015,"$50,006 ",416
"Chambers County, TX",48071,"$49,970 ",417
"Hughes County, SD",46065,"$49,892 ",418
"Jackson County, MN",27063,"$49,859 ",419
"Smith County, TX",48423,"$49,857 ",420
"Yolo County, CA",6113,"$49,854 ",421
"Warrick County, IN",18173,"$49,836 ",422
"Ramsey County, MN",27123,"$49,785 ",423
"Jefferson County, NE",31095,"$49,774 ",424
"Laramie County, WY",56021,"$49,763 ",425
"Island County, WA",53029,"$49,741 ",426
"Washoe County, NV",32031,"$49,711 ",427
"Kitsap County, WA",53035,"$49,709 ",428
"Ramsey County, ND",38071,"$49,673 ",429
"McIntosh County, ND",38051,"$49,668 ",430
"Morton County, ND",38059,"$49,614 ",431
"Davison County, SD",46035,"$49,614 ",431
"Kent County, MI",26081,"$49,599 ",433
"Polk County, IA",19153,"$49,577 ",434
"Lamoille County, VT",50015,"$49,571 ",435
"Coffey County, KS",20031,"$49,565 ",436
"Austin County, TX",48015,"$49,559 ",437
"Chesterfield County, VA",51041,"$49,546 ",438
"Snohomish County, WA",53061,"$49,511 ",439
"Petroleum County, MT",30069,"$49,505 ",440
"St. Croix, WI",55109,"$49,494 ",441
"Stafford County, KS",20185,"$49,489 ",442
"Mariposa County, CA",6043,"$49,482 ",443
"Ontario County, NY",36069,"$49,477 ",444
"Polk County, NE",31143,"$49,469 ",445
"Thurston County, NE",31173,"$49,448 ",446
"Guthrie County, IA",19077,"$49,429 ",447
"Audubon County, IA",19009,"$49,397 ",448
"Camden County, NJ",34007,"$49,392 ",449
"Jefferson County, AL",1073,"$49,386 ",450
"Rutland County, VT",50021,"$49,375 ",451
"Ford County, IL",17053,"$49,344 ",452
"Bennington County, VT",50003,"$49,278 ",453
"Dare County, NC",37055,"$49,248 ",454
"Grundy County, IA",19075,"$49,241 ",455
"Clermont County, OH",39025,"$49,215 ",456
"Sedgwick County, KS",20173,"$49,213 ",457
"Carbon County, WY",56007,"$49,195 ",458
"Pinellas County, FL",12103,"$49,186 ",459
"Kossuth County, IA",19109,"$49,180 ",460
"Kingsbury County, SD",46077,"$49,160 ",461
"San Juan County, CO",8111,"$49,144 ",462
"Scott County, IA",19163,"$49,023 ",463
"Bristol County, MA",25005,"$49,019 ",464
"Golden Valley County, MT",30037,"$49,017 ",465
"Republic County, KS",20157,"$49,012 ",466
"Linn County, IA",19113,"$49,002 ",467
"Pennington County, MN",27113,"$48,997 ",468
"Judith Basin County, MT",30045,"$48,981 ",469
"Brown County, SD",46013,"$48,978 ",470
"Plumas County, CA",6063,"$48,976 ",471
"Grant County, OK",40053,"$48,955 ",472
"Florence, WI",55037,"$48,949 ",473
"York County, NE",31185,"$48,944 ",474
"Goodhue County, MN",27049,"$48,888 ",475
"Burt County, NE",31021,"$48,886 ",476
"Sheridan County, MT",30091,"$48,864 ",477
"Pottawatomie County, KS",20149,"$48,860 ",478
"Wabaunsee County, KS",20197,"$48,849 ",479
"Lehigh County, PA",42077,"$48,834 ",480
"Hooker County, NE",31091,"$48,804 ",481
"Karnes County, TX",48255,"$48,791 ",482
"Towner County, ND",38095,"$48,774 ",483
"Madison County, MT",30057,"$48,748 ",484
"Sheridan County, NE",31161,"$48,745 ",485
"Parker County, TX",48367,"$48,692 ",486
"Marshall County, MN",27089,"$48,686 ",487
"Northampton County, PA",42095,"$48,650 ",488
"Washington County, IL",17189,"$48,641 ",489
"Jefferson County, WA",53031,"$48,625 ",490
"Ohio County, WV",54069,"$48,607 ",491
"Brown County, MN",27015,"$48,584 ",492
"Grand Forks County, ND",38035,"$48,566 ",493
"McPherson County, KS",20113,"$48,563 ",494
"Calaveras County, CA",6009,"$48,559 ",495
"Hettinger County, ND",38041,"$48,531 ",496
"Stevens County, MN",27149,"$48,530 ",497
"Carroll County, IA",19027,"$48,514 ",498
"Campbell County, WY",56005,"$48,507 ",499
"Charlevoix County, MI",26029,"$48,503 ",500
"Hood River County, OR",41027,"$48,498 ",501
"Upton County, TX",48461,"$48,477 ",502
"Suffolk Independent City, VA",51800,"$48,467 ",503
"Clay County, KS",20027,"$48,449 ",504
"Roanoke County, VA",51161,"$48,384 ",505
"Washington County, IA",19183,"$48,347 ",506
"Warren County, NY",36113,"$48,339 ",507
"Barton County, KS",20009,"$48,338 ",508
"Cheshire, NH",33005,"$48,329 ",509
"Spink County, SD",46115,"$48,318 ",510
"Douglas County, MN",27041,"$48,315 ",511
"Ida County, IA",19093,"$48,293 ",512
"Eddy County, ND",38027,"$48,274 ",513
"Marion County, IN",18097,"$48,253 ",514
"Benton County, IA",19011,"$48,239 ",515
"Monroe County, NY",36055,"$48,223 ",516
"Greene County, GA",13133,"$48,216 ",517
"Fayette County, TX",48149,"$48,197 ",518
"Mono County, CA",6051,"$48,166 ",519
"Franklin County, OH",39049,"$48,150 ",520
"Hancock County, IA",19081,"$48,142 ",521
"Columbia County, WA",53013,"$48,136 ",522
"Sacramento County, CA",6067,"$48,122 ",523
"Woodford County, IL",17203,"$48,114 ",524
"McHenry County, ND",38049,"$48,094 ",525
"Des Moines County, IA",19057,"$48,092 ",526
"Eddy County, NM",35015,"$48,077 ",527
"Sweetwater County, WY",56037,"$48,075 ",528
"Windham County, VT",50025,"$48,065 ",529
"Hamilton County, TN",47065,"$48,053 ",530
"Tarrant County, TX",48439,"$48,050 ",531
"Northwest Arctic Borough, AK",2188,"$48,039 ",532
"Bryan County, GA",13029,"$48,033 ",533
"Buffalo County, NE",31019,"$48,026 ",534
"Swift County, MN",27151,"$48,008 ",535
"Grant County, NE",31075,"$48,006 ",536
"Grundy County, IL",17063,"$48,004 ",537
"Will County, IL",17197,"$48,000 ",538
"Caddo Parish, LA",22017,"$47,987 ",539
"Carroll County, MO",29033,"$47,965 ",540
"Gallatin County, MT",30031,"$47,959 ",541
"Roger Mills County, OK",40129,"$47,956 ",542
"Sheboygan, WI",55117,"$47,930 ",543
"Grant County, KS",20067,"$47,891 ",544
"Cooke County, TX",48097,"$47,889 ",545
"Onondaga County, NY",36067,"$47,865 ",546
"Dauphin County, PA",42043,"$47,864 ",547
"Sullivan, NH",33019,"$47,845 ",548
"Pulaski County, AR",5119,"$47,834 ",549
"St. Charles County, MO",29183,"$47,822 ",550
"Deschutes County, OR",41017,"$47,809 ",551
"Richland County, ND",38077,"$47,800 ",552
"Peoria County, IL",17143,"$47,673 ",553
"Jones County, SD",46075,"$47,662 ",554
"Hood County, TX",48221,"$47,654 ",555
"Logan County, NE",31113,"$47,649 ",556
"Reagan County, TX",48383,"$47,649 ",556
"Martin County, TX",48317,"$47,612 ",558
"Galveston County, TX",48167,"$47,605 ",559
"Jefferson Parish, LA",22051,"$47,591 ",560
"Oklahoma County, OK",40109,"$47,583 ",561
"Erie County, NY",36029,"$47,559 ",562
"Passaic County, NJ",34031,"$47,547 ",563
"Onslow County, NC",37133,"$47,517 ",564
"Washington County, TX",48477,"$47,470 ",565
"Yellowstone County, MT",30111,"$47,467 ",566
"Johnson County, IA",19103,"$47,456 ",567
"Oliver County, ND",38065,"$47,453 ",568
"Hampshire County, MA",25015,"$47,440 ",569
"Madison County, VA",51113,"$47,435 ",570
"Chelan County, WA",53007,"$47,428 ",571
"Ocean County, NJ",34029,"$47,413 ",572
"Putnam County, IL",17155,"$47,409 ",573
"Mitchell County, IA",19131,"$47,400 ",574
"Bartholomew County, IN",18005,"$47,386 ",575
"Stanton County, NE",31167,"$47,375 ",576
"Hampden County, MA",25013,"$47,370 ",577
"Sac County, IA",19161,"$47,368 ",578
"Blanco County, TX",48031,"$47,365 ",579
"Young County, TX",48503,"$47,362 ",580
"Jefferson County, KY",21111,"$47,361 ",581
"Clayton County, IA",19043,"$47,348 ",582
"Gage County, NE",31067,"$47,342 ",583
"Brown, WI",55009,"$47,319 ",584
"Houston County, MN",27055,"$47,315 ",585
"Holt County, MO",29087,"$47,314 ",586
"Sussex County, DE",10005,"$47,303 ",587
"Chesapeake Independent City, VA",51550,"$47,302 ",588
"Orange County, NY",36071,"$47,284 ",589
"Sedgwick County, CO",8115,"$47,266 ",590
"Martin County, MN",27091,"$47,255 ",591
"Spotsylvania County, VA",51177,"$47,230 ",592
"Franklin County, IA",19069,"$47,179 ",593
"Nemaha County, NE",31127,"$47,179 ",593
"Saunders County, NE",31155,"$47,125 ",595
"Lincoln County, NE",31111,"$47,120 ",596
"Larimer County, CO",8069,"$47,117 ",597
"Wrangell Borough, AK",2275,"$47,105 ",598
