county,code,labor_force,rank
"Pine County, MN",27115,"15,044",1360
"Jefferson County, IN",18077,"15,031",1361
"Montgomery County, KS",20125,"14,987",1362
"Lyon County, MN",27083,"14,987",1362
"Taos County, NM",35055,"14,979",1364
"Lee County, GA",13177,"14,956",1365
"Dallas County, AL",1047,"14,935",1366
"Halifax County, VA",51083,"14,881",1367
"Woodford County, KY",21239,"14,876",1368
"Webster Parish, LA",22119,"14,869",1369
"Pickens County, GA",13227,"14,857",1370
"Washington County, TX",48477,"14,856",1371
"McCurtain County, OK",40089,"14,830",1372
"Boone County, IA",19015,"14,828",1373
"Campbell County, TN",47013,"14,825",1374
"Schoharie County, NY",36095,"14,823",1375
"Amador County, CA",6005,"14,783",1376
"Beauregard Parish, LA",22011,"14,778",1377
"Wexford County, MI",26165,"14,776",1378
"Coshocton County, OH",39031,"14,775",1379
"Caledonia County, VT",50005,"14,714",1380
"Pike County, MS",28113,"14,690",1381
"Christian County, IL",17021,"14,687",1382
"Decatur County, IN",18031,"14,681",1383
"Iroquois County, IL",17075,"14,668",1384
"Wasatch County, UT",49051,"14,632",1385
"Marshall County, MS",28093,"14,624",1386
"Wakulla County, FL",12129,"14,622",1387
"Cocke County, TN",47029,"14,619",1388
"Lincoln County, MS",28085,"14,579",1389
"Plymouth County, IA",19149,"14,570",1390
"Winchester Independent City, VA",51840,"14,570",1390
"Cass County, MN",27021,"14,554",1392
"Franklin County, ME",23007,"14,537",1393
"Fayette County, OH",39047,"14,479",1394
"Brown County, MN",27015,"14,473",1395
"Bladen County, NC",37017,"14,462",1396
"Ottawa County, OK",40115,"14,461",1397
"Van Wert County, OH",39161,"14,436",1398
"Pontotoc County, MS",28115,"14,424",1399
"Graham County, AZ",4009,"14,423",1400
"Coos, NH",33007,"14,376",1401
"Hardin County, OH",39065,"14,371",1402
"Pulaski County, MO",29169,"14,367",1403
"Hood River County, OR",41027,"14,359",1404
"Delta County, CO",8029,"14,357",1405
"Escambia County, AL",1053,"14,352",1406
"Elbert County, CO",8039,"14,330",1407
"Marion County, MO",29127,"14,321",1408
"Transylvania County, NC",37175,"14,217",1409
"Hot Spring County, AR",5059,"14,188",1410
"Mason County, MI",26105,"14,163",1411
"Wells County, IN",18179,"14,158",1412
"Franklin County, KS",20059,"14,142",1413
"Iberville Parish, LA",22047,"14,142",1413
"Polk County, MO",29167,"14,117",1415
"Randolph County, IL",17157,"14,114",1416
"Lamoille County, VT",50015,"14,102",1417
"Barton County, KS",20009,"14,100",1418
"Washington County, ME",23029,"14,070",1419
"Jones County, GA",13169,"14,045",1420
"Henry County, TN",47079,"14,035",1421
"Ripley County, IN",18137,"14,017",1422
"Austin County, TX",48015,"13,997",1423
"Union County, MS",28145,"13,976",1424
"Iowa, WI",55049,"13,969",1425
"Franklin County, AL",1059,"13,960",1426
"Wyoming County, PA",42131,"13,958",1427
"Wasco County, OR",41065,"13,955",1428
"Uintah County, UT",49047,"13,936",1429
"Meade County, SD",46093,"13,898",1430
"Powhatan County, VA",51145,"13,858",1431
"Marshall County, WV",54051,"13,841",1432
"DeSoto County, FL",12027,"13,833",1433
"Greenup County, KY",21089,"13,833",1433
"Fredericksburg Independent City, VA",51630,"13,823",1435
"Whitley County, KY",21235,"13,726",1436
"Orleans County, VT",50019,"13,720",1437
"Jefferson Davis Parish, LA",22053,"13,679",1438
"Bremer County, IA",19017,"13,664",1439
"Juneau, WI",55057,"13,664",1439
"Henry County, OH",39069,"13,655",1441
"Washington County, IN",18175,"13,650",1442
"Wythe County, VA",51197,"13,646",1443
"Lawrence County, AL",1079,"13,640",1444
"Madison County, GA",13195,"13,602",1445
"Chester County, SC",45023,"13,592",1446
"Dinwiddie County, VA",51053,"13,588",1447
"Alpena County, MI",26007,"13,582",1448
"Fluvanna County, VA",51065,"13,519",1449
"McDonough County, IL",17109,"13,485",1450
"Greene County, IN",18055,"13,480",1451
"Todd County, MN",27153,"13,476",1452
"Stone County, MO",29209,"13,474",1453
"Benton County, IA",19011,"13,463",1454
"Scott County, MS",28123,"13,403",1455
"Palo Pinto County, TX",48363,"13,403",1455
"Petersburg Independent City, VA",51730,"13,392",1457
"Posey County, IN",18129,"13,388",1458
"Jasper County, TX",48241,"13,380",1459
"Carroll County, OH",39019,"13,376",1460
"Kleberg County, TX",48273,"13,367",1461
"Meeker County, MN",27093,"13,301",1462
"Currituck County, NC",37053,"13,285",1463
"West Baton Rouge Parish, LA",22121,"13,283",1464
"Rhea County, TN",47143,"13,275",1465
"Hocking County, OH",39073,"13,251",1466
"Fairfax Independent City, VA",51600,"13,251",1466
"Monroe County, GA",13207,"13,235",1468
"Howard County, TX",48227,"13,197",1469
"Lake County, MT",30047,"13,194",1470
"Gillespie County, TX",48171,"13,193",1471
"White County, IN",18181,"13,164",1472
"Jennings County, IN",18079,"13,162",1473
"Cass County, NE",31025,"13,144",1474
"Smyth County, VA",51173,"13,117",1475
"Carroll County, AR",5015,"13,097",1476
"Charlevoix County, MI",26029,"13,069",1477
"Jefferson County, ID",16051,"13,057",1478
"Panola County, MS",28107,"13,039",1479
"Montezuma County, CO",8083,"12,998",1480
"Lawrence County, SD",46081,"12,997",1481
"Carroll County, VA",51035,"12,997",1481
"Stoddard County, MO",29207,"12,992",1483
"Wise County, VA",51195,"12,986",1484
"Bolivar County, MS",28011,"12,985",1485
"Jackson County, OH",39079,"12,956",1486
"Titus County, TX",48449,"12,954",1487
"Sumter County, GA",13261,"12,941",1488
"Mille Lacs County, MN",27095,"12,918",1489
"Glenn County, CA",6021,"12,915",1490
"Salem Independent City, VA",51775,"12,907",1491
"Dawson County, NE",31047,"12,855",1492
"Logan County, IL",17107,"12,827",1493
"Claiborne County, TN",47025,"12,734",1494
"Wyandot County, OH",39175,"12,732",1495
"Ashe County, NC",37009,"12,709",1496
"Boyle County, KY",21021,"12,701",1497
"Hancock County, WV",54029,"12,687",1498
"Garvin County, OK",40049,"12,630",1499
"Fayette County, TX",48149,"12,623",1500
"Malheur County, OR",41045,"12,618",1501
"Evangeline Parish, LA",22039,"12,590",1502
"Dillon County, SC",45033,"12,574",1503
"Dickinson County, MI",26043,"12,549",1504
"Marion County, SC",45067,"12,541",1505
"Marion County, AL",1093,"12,517",1506
"Haralson County, GA",13143,"12,491",1507
"Clarendon County, SC",45027,"12,425",1508
"Hale County, TX",48189,"12,418",1509
"Oceana County, MI",26127,"12,397",1510
"Juniata County, PA",42067,"12,394",1511
"Williamsburg County, SC",45089,"12,389",1512
"Caddo County, OK",40015,"12,367",1513
"King George County, VA",51099,"12,359",1514
"Washington County, IA",19183,"12,358",1515
"Blaine County, ID",16013,"12,277",1516
"Obion County, TN",47131,"12,273",1517
"Jasper County, SC",45053,"12,228",1518
"Dunklin County, MO",29069,"12,219",1519
"Meade County, KY",21163,"12,211",1520
"Clay County, IN",18021,"12,204",1521
"Cass County, TX",48067,"12,198",1522
"Marion County, TN",47115,"12,176",1523
"Taylor County, KY",21217,"12,174",1524
"Gallia County, OH",39053,"12,174",1524
"Teller County, CO",8119,"12,170",1526
"Pottawatomie County, KS",20149,"12,168",1527
"Logan County, KY",21141,"12,161",1528
"Grant County, NM",35017,"12,154",1529
"Mecklenburg County, VA",51117,"12,150",1530
"Tate County, MS",28137,"12,138",1531
"Randolph County, WV",54083,"12,099",1532
"Clare County, MI",26035,"12,093",1533
"Wabasha County, MN",27157,"12,078",1534
"Union County, OR",41061,"12,068",1535
"Sanpete County, UT",49039,"12,064",1536
"Jefferson County, WA",53031,"12,021",1537
"Toombs County, GA",13279,"12,005",1538
"Carroll County, TN",47017,"12,000",1539
"Gilmer County, GA",13123,"11,988",1540
"White County, TN",47185,"11,965",1541
"Jackson County, WV",54035,"11,930",1542
"Mineral County, WV",54057,"11,914",1543
"Henderson County, TN",47077,"11,904",1544
"Montgomery County, IL",17135,"11,886",1545
"New Kent County, VA",51127,"11,857",1546
"Staunton Independent City, VA",51790,"11,848",1547
"Winneshiek County, IA",19191,"11,839",1548
"Montgomery County, KY",21173,"11,829",1549
"Miller County, MO",29131,"11,823",1550
"Randolph County, IN",18135,"11,801",1551
"Baker County, FL",12003,"11,794",1552
"Tillamook County, OR",41057,"11,786",1553
"Floyd County, KY",21071,"11,777",1554
"Jerome County, ID",16053,"11,763",1555
"Union County, SC",45087,"11,759",1556
"Montgomery County, NC",37123,"11,732",1557
"Lewis County, NY",36049,"11,727",1558
"Cassia County, ID",16031,"11,718",1559
"Uvalde County, TX",48463,"11,714",1560
"Yates County, NY",36123,"11,702",1561
"Dawson County, GA",13085,"11,688",1562
"Muhlenberg County, KY",21177,"11,686",1563
"Peach County, GA",13225,"11,669",1564
"Otsego County, MI",26137,"11,668",1565
"Decatur County, GA",13087,"11,663",1566
"Dodge County, MN",27039,"11,657",1567
"Page County, VA",51139,"11,640",1568
"Geary County, KS",20061,"11,573",1569
"Anderson County, KY",21005,"11,573",1569
"Waushara, WI",55137,"11,557",1571
"Yankton County, SD",46135,"11,541",1572
"Grant County, KY",21081,"11,531",1573
"Scotland County, NC",37165,"11,523",1574
"Fillmore County, MN",27045,"11,521",1575
"Payette County, ID",16075,"11,512",1576
"Mahaska County, IA",19123,"11,468",1577
"San Jacinto County, TX",48407,"11,436",1578
"Buena Vista County, IA",19021,"11,432",1579
"Wayne County, GA",13305,"11,371",1580
"Beckham County, OK",40009,"11,364",1581
"Nobles County, MN",27105,"11,344",1582
"Copiah County, MS",28029,"11,310",1583
"Upson County, GA",13293,"11,295",1584
"Bradford County, FL",12007,"11,293",1585
"Kewaunee, WI",55061,"11,280",1586
"Taylor, WI",55119,"11,277",1587
"Hockley County, TX",48219,"11,270",1588
"Hart County, GA",13147,"11,259",1589
"Logan County, CO",8075,"11,213",1590
"Adams County, MS",28001,"11,205",1591
"Ray County, MO",29177,"11,205",1591
"Cherokee County, AL",1019,"11,174",1593
"Franklin County, IN",18047,"11,169",1594
"Cherokee County, NC",37039,"11,157",1595
"Elmore County, ID",16039,"11,144",1596
"Prentiss County, MS",28117,"11,118",1597
"Washington County, NE",31177,"11,113",1598
"Davison County, SD",46035,"11,108",1599
"Stutsman County, ND",38093,"11,074",1600
"Russell County, VA",51167,"11,056",1601
"Clinton County, MO",29049,"11,051",1602
"Carroll County, IA",19027,"11,049",1603
"Pitkin County, CO",8097,"11,032",1604
"Buchanan County, IA",19019,"11,031",1605
"Stephens County, GA",13257,"11,020",1606
"Menominee County, MI",26109,"11,018",1607
"Moore County, TX",48341,"11,012",1608
"Fannin County, GA",13111,"11,006",1609
"Jo Daviess County, IL",17085,"11,002",1610
"Minidoka County, ID",16067,"11,000",1611
"Simpson County, MS",28127,"10,997",1612
"Adams County, OH",39001,"10,996",1613
"Grayson County, KY",21085,"10,990",1614
"Goochland County, VA",51075,"10,969",1615
"Audrain County, MO",29007,"10,937",1616
"Jersey County, IL",17083,"10,931",1617
"Spencer County, IN",18147,"10,912",1618
"Jackson County, OK",40065,"10,898",1619
"Gage County, NE",31067,"10,886",1620
"Jackson County, IA",19097,"10,884",1621
"Pike County, OH",39131,"10,880",1622
"Saunders County, NE",31155,"10,858",1623
"Cheboygan County, MI",26031,"10,854",1624
"San Miguel County, NM",35047,"10,852",1625
"Grimes County, TX",48185,"10,842",1626
"Geneva County, AL",1061,"10,817",1627
"Cedar County, IA",19031,"10,797",1628
"Hickman County, TN",47081,"10,789",1629
"Churchill County, NV",32001,"10,782",1630
"Shelby County, TX",48419,"10,781",1631
"Sumner County, KS",20191,"10,761",1632
"Colusa County, CA",6011,"10,759",1633
"Logan County, WV",54045,"10,757",1634
"Grady County, GA",13131,"10,750",1635
"Gunnison County, CO",8051,"10,714",1636
"Rowan County, KY",21205,"10,711",1637
"De Soto Parish, LA",22031,"10,700",1638
"Butts County, GA",13035,"10,684",1639
"Leelanau County, MI",26089,"10,655",1640
"Dakota County, NE",31043,"10,648",1641
"Crawford County, MO",29055,"10,644",1642
"Johnson County, AR",5071,"10,640",1643
"Chattooga County, GA",13055,"10,632",1644
"Macon County, TN",47111,"10,625",1645
"Osceola County, MI",26133,"10,624",1646
"Houston County, MN",27055,"10,613",1647
"Rockbridge County, VA",51163,"10,588",1648
"Neshoba County, MS",28099,"10,576",1649
"McDonald County, MO",29119,"10,573",1650
"Edgefield County, SC",45037,"10,557",1651
"Houston County, TX",48225,"10,556",1652
"Anson County, NC",37007,"10,545",1653
"Jones County, IA",19105,"10,527",1654
"Delaware County, IA",19055,"10,512",1655
"Scott County, IN",18143,"10,486",1656
"Nodaway County, MO",29147,"10,485",1657
"Jackson, WI",55053,"10,479",1658
"Iowa County, IA",19095,"10,478",1659
"Luna County, NM",35029,"10,454",1660
"Starke County, IN",18149,"10,449",1661
"Manistee County, MI",26101,"10,448",1662
"Saline County, MO",29195,"10,445",1663
"Poweshiek County, IA",19157,"10,440",1664
"Fayette County, IA",19065,"10,429",1665
"Martin County, MN",27091,"10,424",1666
"Calhoun County, TX",48057,"10,424",1666
"Hardin County, TN",47071,"10,422",1668
"Morehouse Parish, LA",22067,"10,420",1669
"Leflore County, MS",28083,"10,414",1670
"Itawamba County, MS",28057,"10,385",1671
"Aransas County, TX",48007,"10,366",1672
"Labette County, KS",20099,"10,350",1673
"Poinsett County, AR",5111,"10,347",1674
"Panola County, TX",48365,"10,320",1675
"Kent County, MD",24029,"10,308",1676
"Prince Edward County, VA",51147,"10,306",1677
"Waynesboro Independent City, VA",51820,"10,272",1678
"Asotin County, WA",53003,"10,262",1679
"Shelby County, IL",17173,"10,235",1680
"Marion County, MS",28091,"10,233",1681
"Carter County, KY",21043,"10,232",1682
"Lafayette, WI",55065,"10,213",1683
"Knox County, KY",21121,"10,208",1684
"Adair County, MO",29001,"10,204",1685
"Union County, GA",13291,"10,188",1686
"Vilas, WI",55125,"10,188",1686
"Iosco County, MI",26069,"10,173",1688
"Greene County, VA",51079,"10,170",1689
"Clayton County, IA",19043,"10,169",1690
"Dickinson County, IA",19059,"10,165",1691
"Cherokee County, KS",20021,"10,164",1692
"Antrim County, MI",26009,"10,162",1693
"Washington County, MO",29221,"10,155",1694
"Park County, CO",8093,"10,153",1695
"Plaquemines Parish, LA",22075,"10,149",1696
"Hampshire County, WV",54027,"10,144",1697
"Douglas County, IL",17041,"10,120",1698
"Mercer County, KY",21167,"10,114",1699
"Jefferson County, KS",20087,"10,104",1700
"Abbeville County, SC",45001,"10,103",1701
"Randolph County, MO",29175,"10,083",1702
"Colorado County, TX",48089,"10,080",1703
"Milam County, TX",48331,"10,057",1704
"Klickitat County, WA",53039,"10,051",1705
"Fairfield County, SC",45039,"10,045",1706
"Jefferson County, OR",41031,"10,041",1707
"Hughes County, SD",46065,"10,040",1708
"Carroll County, IN",18015,"10,027",1709
"Franklin County, GA",13119,"10,019",1710
"Lassen County, CA",6035,"10,005",1711
"Mason County, WV",54053,"9,985",1712
"Pointe Coupee Parish, LA",22077,"9,974",1713
"Bee County, TX",48025,"9,938",1714
"Hopewell Independent City, VA",51670,"9,931",1715
"Hubbard County, MN",27057,"9,924",1716
"Perry County, MO",29157,"9,924",1716
"Bourbon County, KY",21017,"9,921",1718
"Andrew County, MO",29003,"9,919",1719
"Sevier County, UT",49041,"9,907",1720
"Gladwin County, MI",26051,"9,905",1721
"Hempstead County, AR",5057,"9,897",1722
"Seward County, KS",20175,"9,873",1723
"Madison County, NC",37115,"9,873",1723
"Brooke County, WV",54009,"9,850",1725
"Washington County, FL",12133,"9,839",1726
"Spencer County, KY",21215,"9,838",1727
"Ohio County, KY",21183,"9,816",1728
"Ouachita County, AR",5103,"9,795",1729
"Del Norte County, CA",6015,"9,780",1730
"Jay County, IN",18075,"9,731",1731
"Caswell County, NC",37033,"9,731",1731
"Green Lake, WI",55047,"9,731",1731
"Langlade, WI",55067,"9,726",1734
"Fulton County, IN",18049,"9,696",1735
"Saline County, IL",17165,"9,694",1736
"Henry County, IA",19087,"9,681",1737
"Henry County, MO",29083,"9,663",1738
"Grenada County, MS",28043,"9,653",1739
"Winston County, AL",1133,"9,646",1740
"Bandera County, TX",48019,"9,639",1741
"Martin County, NC",37117,"9,636",1742
"Tama County, IA",19171,"9,627",1743
"Tattnall County, GA",13267,"9,626",1744
"Lee County, TX",48287,"9,625",1745
"Grand County, CO",8049,"9,598",1746
"Overton County, TN",47133,"9,590",1747
"Marion County, KY",21155,"9,589",1748
"DeWitt County, TX",48123,"9,586",1749
"Fayette County, IL",17051,"9,585",1750
"Greene County, NC",37079,"9,577",1751
"Crook County, OR",41013,"9,563",1752
"St. James Parish, LA",22093,"9,547",1753
"Washington County, IL",17189,"9,542",1754
"Upshur County, WV",54097,"9,521",1755
"Vernon County, MO",29217,"9,498",1756
"Tippah County, MS",28139,"9,486",1757
"Burke County, GA",13033,"9,479",1758
"Clark County, AR",5019,"9,470",1759
"Dukes County, MA",25007,"9,468",1760
"Crisp County, GA",13081,"9,462",1761
"Lauderdale County, TN",47097,"9,455",1762
"Somerset County, MD",24039,"9,436",1763
"Edgar County, IL",17045,"9,426",1764
"Woodward County, OK",40153,"9,414",1765
"Grainger County, TN",47057,"9,409",1766
"Richland, WI",55103,"9,408",1767
"Scott County, VA",51169,"9,393",1768
"Waseca County, MN",27161,"9,392",1769
"Hutchinson County, TX",48233,"9,392",1769
"Lincoln County, KY",21137,"9,386",1771
"Texas County, OK",40139,"9,385",1772
"Hardee County, FL",12049,"9,378",1773
"Randolph County, AL",1111,"9,373",1774
"Gonzales County, TX",48177,"9,361",1775
"Worth County, GA",13321,"9,353",1776
"Nicholas County, WV",54067,"9,351",1777
"Cleburne County, AR",5023,"9,351",1777
"Beadle County, SD",46005,"9,350",1779
"Seminole County, OK",40133,"9,338",1780
"Chaffee County, CO",8015,"9,318",1781
"Frio County, TX",48163,"9,300",1782
"Dickinson County, KS",20041,"9,279",1783
"Hertford County, NC",37091,"9,275",1784
"Hardeman County, TN",47069,"9,263",1785
"Appling County, GA",13001,"9,261",1786
"Marlboro County, SC",45069,"9,257",1787
"Texas County, MO",29215,"9,251",1788
"Banks County, GA",13011,"9,242",1789
"Gaines County, TX",48165,"9,239",1790
"Perry County, IN",18123,"9,235",1791
"Lampasas County, TX",48281,"9,235",1791
"Yazoo County, MS",28163,"9,212",1793
"Owen County, IN",18119,"9,162",1794
"Union Parish, LA",22111,"9,147",1795
"Uinta County, WY",56041,"9,138",1796
"Columbia County, AR",5027,"9,115",1797
"Montour County, PA",42093,"9,096",1798
"Montague County, TX",48337,"9,083",1799
"Cibola County, NM",35006,"9,081",1800
"Los Alamos County, NM",35028,"9,056",1801
"Curry County, OR",41015,"9,049",1802
"Fayette County, IN",18041,"9,042",1803
"Allen Parish, LA",22003,"9,023",1804
"Kanabec County, MN",27065,"9,022",1805
"Morgan County, GA",13211,"9,015",1806
"Arkansas County, AR",5001,"9,013",1807
"Meriwether County, GA",13199,"9,012",1808
"Andrews County, TX",48003,"9,011",1809
"Westmoreland County, VA",51193,"9,004",1810
"Smith County, TN",47159,"8,996",1811
"Jefferson County, IA",19101,"8,995",1812
"Meigs County, OH",39105,"8,970",1813
"McDuffie County, GA",13189,"8,964",1814
"Assumption Parish, LA",22007,"8,960",1815
"Allen County, KY",21003,"8,954",1816
"Logan County, AR",5083,"8,947",1817
"Butler County, AL",1013,"8,946",1818
"Ste. Genevieve County, MO",29186,"8,944",1819
"Polk County, NC",37149,"8,944",1819
"Coahoma County, MS",28027,"8,923",1821
"Benzie County, MI",26019,"8,919",1822
"Adams County, WA",53001,"8,918",1823
"George County, MS",28039,"8,914",1824
"Rush County, IN",18139,"8,909",1825
"Renville County, MN",27129,"8,900",1826
"Richland County, ND",38077,"8,882",1827
"Paulding County, OH",39125,"8,862",1828
"King William County, VA",51101,"8,856",1829
"Saluda County, SC",45081,"8,854",1830
"Colonial Heights Independent City, VA",51570,"8,849",1831
"Southampton County, VA",51175,"8,845",1832
"Pierce County, GA",13229,"8,840",1833
"Humphreys County, TN",47085,"8,840",1833
"Pennington County, MN",27113,"8,831",1835
"Harrison County, KY",21097,"8,803",1836
"Sabine Parish, LA",22085,"8,802",1837
"Bell County, KY",21013,"8,790",1838
"Taylor County, FL",12123,"8,785",1839
"Crawford County, IL",17033,"8,778",1840
"Floyd County, IA",19067,"8,777",1841
"Orange County, IN",18117,"8,750",1842
"Kossuth County, IA",19109,"8,731",1843
"Simpson County, KY",21213,"8,731",1843
"Lincoln County, WY",56023,"8,727",1845
"Seward County, NE",31159,"8,719",1846
"Lavaca County, TX",48285,"8,712",1847
"Emanuel County, GA",13107,"8,683",1848
"Inyo County, CA",6027,"8,682",1849
"La Paz County, AZ",4012,"8,681",1850
"Pike County, GA",13231,"8,667",1851
"Kingfisher County, OK",40073,"8,662",1852
"Lincoln County, NM",35027,"8,657",1853
"Yell County, AR",5149,"8,650",1854
"Perry County, KY",21193,"8,648",1855
"Manassas Park Independent City, VA",51685,"8,644",1856
"Warren County, IL",17187,"8,643",1857
"Park County, MT",30067,"8,631",1858
"Clay County, IA",19041,"8,606",1859
"McNairy County, TN",47109,"8,591",1860
"Mono County, CA",6051,"8,568",1861
"Mitchell County, GA",13205,"8,538",1862
"Tipton County, IN",18159,"8,530",1863
"Chester County, TN",47023,"8,526",1864
"Sibley County, MN",27143,"8,513",1865
"Newton County, MS",28101,"8,511",1866
"Sullivan County, IN",18153,"8,506",1867
"Bibb County, AL",1007,"8,506",1867
"Hancock County, IL",17067,"8,483",1869
"Hardin County, IA",19083,"8,474",1870
"Piatt County, IL",17147,"8,453",1871
"Pacific County, WA",53049,"8,410",1872
"St. Francis County, AR",5123,"8,410",1872
"Carbon County, UT",49007,"8,372",1874
"Grant County, AR",5053,"8,371",1875
"Richland Parish, LA",22083,"8,364",1876
"Otero County, CO",8089,"8,352",1877
"Deaf Smith County, TX",48117,"8,339",1878
"Perry County, IL",17145,"8,319",1879
"Llano County, TX",48299,"8,319",1879
"Adams, WI",55001,"8,316",1881
"Madison County, IA",19121,"8,315",1882
"Limestone County, TX",48293,"8,315",1882
"Tishomingo County, MS",28141,"8,308",1884
"Humboldt County, NV",32013,"8,303",1885
"Schuyler County, NY",36097,"8,291",1886
"Radford Independent City, VA",51750,"8,285",1887
"Dade County, GA",13083,"8,282",1888
"Conway County, AR",5029,"8,281",1889
"Adair County, OK",40001,"8,272",1890
"Covington County, MS",28031,"8,261",1891
"Hart County, KY",21099,"8,257",1892
"Lee County, VA",51105,"8,245",1893
"Ogemaw County, MI",26129,"8,238",1894
"Barbour County, AL",1005,"8,236",1895
"San Juan County, WA",53055,"8,235",1896
"Alamosa County, CO",8003,"8,230",1897
"Crawford County, IA",19047,"8,220",1898
"Gray County, TX",48179,"8,216",1899
"Hampton County, SC",45049,"8,210",1900
"Breckinridge County, KY",21027,"8,206",1901
"McKenzie County, ND",38053,"8,198",1902
"Grant Parish, LA",22043,"8,189",1903
"Bertie County, NC",37015,"8,177",1904
"Bosque County, TX",48035,"8,176",1905
"Scott County, TN",47151,"8,171",1906
"Falls Church Independent City, VA",51610,"8,160",1907
"Roseau County, MN",27135,"8,157",1908
"Putnam County, GA",13237,"8,145",1909
"Lamar County, GA",13171,"8,126",1910
"Bates County, MO",29013,"8,116",1911
"East Feliciana Parish, LA",22037,"8,110",1912
"Otoe County, NE",31131,"8,110",1912
"Duchesne County, UT",49013,"8,104",1914
"Floyd County, VA",51063,"8,093",1915
"Sunflower County, MS",28133,"8,091",1916
"Barnwell County, SC",45011,"8,082",1917
"Young County, TX",48503,"8,082",1917
"Mercer County, IL",17131,"8,067",1919
"Gooding County, ID",16047,"8,054",1920
"Henry County, KY",21103,"8,048",1921
"Sawyer, WI",55113,"8,048",1921
"O'Brien County, IA",19141,"8,038",1923
"Polk County, AR",5113,"8,033",1924
"Ashland, WI",55003,"8,021",1925
"Washburn, WI",55129,"8,009",1926
"Crawford, WI",55023,"8,000",1927
"Burleson County, TX",48051,"7,987",1928
"Osage County, KS",20139,"7,961",1929
"Roscommon County, MI",26143,"7,957",1930
"Carbon County, WY",56007,"7,957",1930
"Roosevelt County, NM",35041,"7,937",1932
"Gem County, ID",16045,"7,934",1933
"Union County, SD",46127,"7,926",1934
"Giles County, VA",51071,"7,903",1935
"Macon County, AL",1087,"7,892",1936
"New Madrid County, MO",29143,"7,888",1937
"Fountain County, IN",18045,"7,882",1938
"Lincoln County, MT",30053,"7,875",1939
"Elbert County, GA",13105,"7,874",1940
"Morgan County, TN",47129,"7,871",1941
"Haywood County, TN",47075,"7,865",1942
"Butler County, IA",19023,"7,860",1943
"Clay County, MS",28025,"7,852",1944
"Eastland County, TX",48133,"7,852",1944
"Drew County, AR",5043,"7,846",1946
"Clark County, IL",17023,"7,845",1947
"Taylor County, WV",54091,"7,839",1948
"Hill County, MT",30041,"7,835",1949
"Pike County, MO",29163,"7,829",1950
"Bond County, IL",17005,"7,817",1951
"Plumas County, CA",6063,"7,803",1952
"Morgan County, MO",29141,"7,794",1953
"Kalkaska County, MI",26079,"7,793",1954
"Pickens County, AL",1107,"7,783",1955
"Northampton County, NC",37131,"7,769",1956
"Garrard County, KY",21079,"7,744",1957
"De Witt County, IL",17039,"7,740",1958
"Cook County, GA",13075,"7,732",1959
"DeKalb County, TN",47041,"7,732",1959
"Cross County, AR",5037,"7,724",1961
"Clarke County, AL",1025,"7,720",1962
"Morgan County, WV",54065,"7,715",1963
"Long County, GA",13183,"7,703",1964
"Redwood County, MN",27127,"7,702",1965
"Avery County, NC",37011,"7,697",1966
"Ashley County, AR",5003,"7,695",1967
"Boone County, WV",54005,"7,692",1968
"Leake County, MS",28079,"7,683",1969
"Gasconade County, MO",29073,"7,678",1970
"Mariposa County, CA",6043,"7,647",1971
"Marquette, WI",55077,"7,644",1972
"Johnson County, TN",47091,"7,625",1973
"Marengo County, AL",1091,"7,623",1974
"Carroll County, IL",17015,"7,607",1975
"Wayne County, KY",21231,"7,602",1976
"Fremont County, ID",16043,"7,583",1977
"Brown County, IN",18013,"7,547",1978
"Bayfield, WI",55007,"7,546",1979
"Piscataquis County, ME",23021,"7,543",1980
"Wright County, MO",29229,"7,539",1981
"Richland County, IL",17159,"7,535",1982
"Allamakee County, IA",19005,"7,520",1983
"Clarke County, VA",51043,"7,519",1984
"Wayne County, MS",28153,"7,505",1985
"Converse County, WY",56009,"7,481",1986
"Bristol Independent City, VA",51520,"7,471",1987
"Madison County, AR",5087,"7,458",1988
"Pawnee County, OK",40117,"7,453",1989
"Yancey County, NC",37199,"7,452",1990
"Bethel Borough, AK",2050,"7,445",1991
"Franklin County, AR",5047,"7,439",1992
"Patrick County, VA",51141,"7,429",1993
"Berrien County, GA",13019,"7,419",1994
"Madison County, FL",12079,"7,407",1995
"Macon County, MO",29121,"7,403",1996
"Johnson County, KY",21115,"7,392",1997
"Mason County, KY",21161,"7,376",1998
"Moffat County, CO",8081,"7,375",1999
"Washington County, GA",13303,"7,373",2000
"Polk County, TN",47139,"7,372",2001
"Jackson County, TX",48239,"7,366",2002
"Burnett, WI",55013,"7,365",2003
"Harrison County, IA",19085,"7,362",2004
"Moniteau County, MO",29135,"7,361",2005
"Union County, TN",47173,"7,359",2006
"Union County, IL",17181,"7,354",2007
"Nelson County, VA",51125,"7,354",2007
"Robertson County, TX",48395,"7,351",2009
"Cooper County, MO",29053,"7,348",2010
"Saline County, NE",31151,"7,333",2011
"Mills County, IA",19129,"7,321",2012
"Franklin Parish, LA",22041,"7,301",2013
"Livingston County, MO",29117,"7,290",2014
"Madison County, VA",51113,"7,290",2014
"York County, NE",31185,"7,281",2016
"Moultrie County, IL",17139,"7,269",2017
"Winston County, MS",28159,"7,245",2018
"Brantley County, GA",13025,"7,238",2019
"Faribault County, MN",27043,"7,235",2020
"Potter County, PA",42105,"7,228",2021
"Grayson County, VA",51077,"7,220",2022
