county,code,labor_force,rank
"Mahoning County, OH",39099,"105,154",313
"Outagamie, WI",55087,"104,727",314
"Clay County, FL",12019,"104,588",315
"Champaign County, IL",17019,"104,527",316
"Cabarrus County, NC",37025,"104,403",317
"Jackson County, OR",41029,"103,952",318
"Sangamon County, IL",17167,"103,457",319
"Butte County, CA",6007,"102,982",320
"Sussex County, DE",10005,"102,929",321
"St. Louis County, MN",27137,"102,698",322
"Cass County, ND",38017,"102,364",323
"Oneida County, NY",36065,"102,069",324
"Yavapai County, AZ",4025,"101,763",325
"Livingston County, MI",26093,"101,400",326
"Niagara County, NY",36063,"101,134",327
"Hall County, GA",13139,"100,338",328
"Racine, WI",55101,"100,142",329
"Tuscaloosa County, AL",1125,"99,237",330
"Alexandria Independent City, VA",51510,"98,590",331
"Berkeley County, SC",45015,"98,452",332
"Butler County, PA",42019,"98,326",333
"Boone County, MO",29019,"97,496",334
"Benton County, WA",53005,"97,430",335
"Canyon County, ID",16027,"96,377",336
"Okaloosa County, FL",12091,"95,850",337
"Sumner County, TN",47165,"95,769",338
"Chittenden County, VT",50007,"95,645",339
"Medina County, OH",39103,"95,615",340
"Yuma County, AZ",4027,"95,167",341
"Carroll County, MD",24013,"94,869",342
"Winnebago, WI",55139,"94,244",343
"Tippecanoe County, IN",18157,"94,220",344
"Johnston County, NC",37101,"93,991",345
"Dona Ana County, NM",35013,"93,805",346
"Middlesex County, CT",9007,"93,686",347
"Deschutes County, OR",41017,"93,470",348
"Vanderburgh County, IN",18163,"93,131",349
"Sarpy County, NE",31153,"92,240",350
"Baldwin County, AL",1003,"91,567",351
"Hawaii County, HI",15001,"91,412",352
"Kent County, RI",44003,"91,029",353
"Shawnee County, KS",20177,"90,915",354
"Stearns County, MN",27145,"90,157",355
"Newport News Independent City, VA",51700,"90,074",356
"Kenosha, WI",55059,"89,921",357
"El Dorado County, CA",6017,"89,886",358
"Licking County, OH",39089,"89,801",359
"Trumbull County, OH",39155,"89,686",360
"Anderson County, SC",45007,"89,559",361
"Midland County, TX",48329,"89,359",362
"Pitt County, NC",37147,"89,270",363
"Bay County, FL",12005,"88,900",364
"Ulster County, NY",36111,"88,895",365
"Hampshire County, MA",25015,"88,508",366
"McLean County, IL",17113,"88,354",367
"DeSoto County, MS",28033,"88,199",368
"Portage County, OH",39133,"87,688",369
"Saginaw County, MI",26145,"87,662",370
"Ellis County, TX",48139,"87,132",371
"Iredell County, NC",37097,"87,100",372
"Harrison County, MS",28047,"86,789",373
"Richmond County, GA",13245,"86,601",374
"Tolland County, CT",9013,"86,570",375
"Maui County, HI",15009,"86,545",376
"Olmsted County, MN",27109,"86,420",377
"Hendricks County, IN",18063,"86,205",378
"Scott County, IA",19163,"86,085",379
"Kenton County, KY",21117,"86,025",380
"Broome County, NY",36007,"85,835",381
"Charles County, MD",24017,"85,792",382
"Rock, WI",55105,"85,722",383
"Peoria County, IL",17143,"85,721",384
"Porter County, IN",18127,"85,418",385
"Beaver County, PA",42007,"84,912",386
"Johnson County, IA",19103,"84,887",387
"Kanawha County, WV",54039,"84,245",388
"Mohave County, AZ",4015,"82,407",389
"Rensselaer County, NY",36083,"82,277",390
"Paulding County, GA",13223,"82,244",391
"Scott County, MN",27139,"82,194",392
"Greene County, OH",39057,"82,142",393
"Monroe County, PA",42089,"81,955",394
"Yellowstone County, MT",30111,"81,485",395
"Merrimack, NH",33013,"81,116",396
"Montgomery County, TN",47125,"80,988",397
"Johnson County, IN",18081,"80,529",398
"Davidson County, NC",37057,"80,147",399
"Alamance County, NC",37001,"79,767",400
"Muscogee County, GA",13215,"79,554",401
"Centre County, PA",42027,"78,636",402
"Catawba County, NC",37035,"78,425",403
"Santa Rosa County, FL",12113,"78,353",404
"Muskegon County, MI",26121,"78,193",405
"Kent County, DE",10001,"78,132",406
"Ector County, TX",48135,"78,116",407
"Washington, WI",55131,"77,851",408
"Guadalupe County, TX",48187,"77,510",409
"Fairfield County, OH",39045,"77,449",410
"Johnson County, TX",48251,"77,413",411
"Wyandotte County, KS",20209,"77,204",412
"Penobscot County, ME",23019,"77,131",413
"Franklin County, PA",42055,"76,656",414
"Schenectady County, NY",36093,"76,475",415
"Monroe County, MI",26115,"76,449",416
"Orange County, NC",37135,"76,435",417
"Washington County, MD",24043,"76,209",418
"Rankin County, MS",28121,"75,655",419
"Kootenai County, ID",16055,"75,457",420
"St. Clair County, MI",26147,"75,420",421
"Coconino County, AZ",4005,"75,381",422
"Sussex County, NJ",34037,"75,277",423
"Pueblo County, CO",8101,"74,580",424
"Shasta County, CA",6089,"74,476",425
"Aiken County, SC",45003,"74,442",426
"Wright County, MN",27171,"74,355",427
"Marathon, WI",55073,"74,325",428
"Jackson County, MI",26075,"74,314",429
"Dorchester County, SC",45035,"74,263",430
"Beaufort County, SC",45013,"74,104",431
"Imperial County, CA",6025,"73,980",432
"Mesa County, CO",8077,"73,877",433
"Napa County, CA",6055,"73,873",434
"Berrien County, MI",26021,"73,790",435
"Lee County, AL",1081,"73,520",436
"Columbia County, GA",13073,"72,880",437
"Santa Fe County, NM",35049,"72,851",438
"Coweta County, GA",13077,"72,479",439
"Martin County, FL",12085,"72,370",440
"Douglas County, GA",13097,"72,367",441
"Strafford, NH",33017,"72,363",442
"Ouachita Parish, LA",22073,"70,946",443
"Washington County, UT",49053,"70,817",444
"Rock Island County, IL",17161,"70,698",445
"Wood County, OH",39173,"70,693",446
"Lebanon County, PA",42075,"70,550",447
"Wilson County, TN",47189,"70,373",448
"Randall County, TX",48381,"70,283",449
"Charlotte County, FL",12015,"70,269",450
"Sullivan County, TN",47163,"70,193",451
"Canadian County, OK",40017,"69,836",452
"Stafford County, VA",51179,"69,689",453
"Bibb County, GA",13021,"69,653",454
"Hernando County, FL",12053,"69,356",455
"Houston County, GA",13153,"69,194",456
"Washington County, RI",44009,"69,144",457
"Livingston Parish, LA",22063,"68,804",458
"Boone County, KY",21015,"68,431",459
"Black Hawk County, IA",19013,"68,275",460
"La Crosse, WI",55063,"68,207",461
"Kendall County, IL",17093,"67,862",462
"Monroe County, IN",18105,"67,577",463
"Randolph County, NC",37151,"67,249",464
"Comal County, TX",48091,"66,826",465
"Cumberland County, NJ",34011,"66,406",466
"Schuylkill County, PA",42107,"66,298",467
"Spotsylvania County, VA",51177,"66,131",468
"Rowan County, NC",37159,"65,907",469
"Florence County, SC",45041,"65,368",470
"Douglas County, KS",20045,"65,199",471
"Berkshire County, MA",25003,"65,153",472
"Hampton Independent City, VA",51650,"64,727",473
"Hunterdon County, NJ",34019,"64,722",474
"Gallatin County, MT",30031,"64,315",475
"Onslow County, NC",37133,"64,162",476
"Windham County, CT",9015,"64,159",477
"Taylor County, TX",48441,"64,051",478
"Tazewell County, IL",17179,"64,033",479
"Sandoval County, NM",35043,"63,918",480
"Clark County, OH",39023,"63,813",481
"Calhoun County, MI",26025,"63,752",482
"Indian River County, FL",12061,"63,322",483
"Warren County, KY",21227,"63,289",484
"Sheboygan, WI",55117,"63,073",485
"Cache County, UT",49005,"63,040",486
"Humboldt County, CA",6023,"63,019",487
"Kennebec County, ME",23011,"62,793",488
"Parker County, TX",48367,"62,302",489
"Missoula County, MT",30063,"62,294",490
"Ascension Parish, LA",22005,"62,243",491
"Grayson County, TX",48181,"62,020",492
"Blount County, TN",47009,"61,819",493
"Wayne County, OH",39169,"61,709",494
"Madera County, CA",6039,"61,443",495
"Allegan County, MI",26005,"61,320",496
"Faulkner County, AR",5045,"61,288",497
"Clarke County, GA",13059,"60,980",498
"Clark County, IN",18019,"60,858",499
"Blair County, PA",42013,"60,219",500
"Cambria County, PA",42021,"59,765",501
"Eau Claire, WI",55035,"59,489",502
"Kaufman County, TX",48257,"59,437",503
