county,code,hs_rate,rank
"Burleson County, TX",48051,80.40%,2480
"Newton County, AR",5101,80.40%,2480
"Simpson County, MS",28127,80.40%,2480
"Mississippi County, AR",5093,80.40%,2480
"Haskell County, OK",40061,80.40%,2480
"Anson County, NC",37007,80.40%,2480
"Carroll County, VA",51035,80.40%,2480
"Madison County, AR",5087,80.40%,2480
"Pike County, MO",29163,80.40%,2480
"Gilmer County, GA",13123,80.30%,2493
"Real County, TX",48385,80.30%,2493
"Hill County, TX",48217,80.30%,2493
"Gray County, TX",48179,80.30%,2493
"Gallatin County, KY",21077,80.30%,2493
"Hertford County, NC",37091,80.30%,2493
"Wheeler County, TX",48483,80.30%,2493
"Hood River County, OR",41027,80.30%,2493
"Hardy County, WV",54031,80.30%,2493
"Edgefield County, SC",45037,80.30%,2493
"Berrien County, GA",13019,80.30%,2493
"Milam County, TX",48331,80.30%,2493
"George County, MS",28039,80.30%,2493
"Morehouse Parish, LA",22067,80.30%,2493
"Lenoir County, NC",37107,80.30%,2493
"Richmond County, NC",37153,80.30%,2493
"Swain County, NC",37173,80.30%,2493
"Chambers County, AL",1017,80.30%,2493
"Marshall County, OK",40095,80.30%,2493
"Marion County, TX",48315,80.30%,2493
"Henderson County, TN",47077,80.20%,2513
"Crittenden County, KY",21055,80.20%,2513
"Lafayette County, AR",5073,80.20%,2513
"Wilson County, NC",37195,80.20%,2513
"Brantley County, GA",13025,80.20%,2513
"Anderson County, TX",48001,80.20%,2513
"Clarke County, MS",28023,80.20%,2513
"Harris County, TX",48201,80.20%,2513
"Malheur County, OR",41045,80.10%,2521
"Lipscomb County, TX",48295,80.10%,2521
"Cibola County, NM",35006,80.10%,2521
"Nolan County, TX",48353,80.10%,2521
"Bacon County, GA",13005,80.10%,2521
"Knox County, TX",48275,80.10%,2521
"Chilton County, AL",1021,80.10%,2521
"Douglas County, MO",29067,80.10%,2521
"Dade County, GA",13083,80.10%,2521
"Chicot County, AR",5017,80.10%,2521
"Santa Barbara County, CA",6083,80.10%,2521
"Jackson Parish, LA",22049,80.00%,2532
"Blount County, AL",1009,80.00%,2532
"Madison County, MO",29123,80.00%,2532
"Sumter County, AL",1119,80.00%,2532
"Kings County, NY",36047,80.00%,2532
"Randolph County, NC",37151,80.00%,2532
"Hampshire County, WV",54027,80.00%,2532
"Pointe Coupee Parish, LA",22077,80.00%,2532
"Charlotte County, VA",51037,80.00%,2532
"Garrard County, KY",21079,80.00%,2532
"Pike County, AL",1109,80.00%,2532
"Mecklenburg County, VA",51117,79.90%,2543
"Comanche County, TX",48093,79.90%,2543
"Hampton County, SC",45049,79.90%,2543
"DeWitt County, TX",48123,79.90%,2543
"Angelina County, TX",48005,79.90%,2543
"Marion County, SC",45067,79.90%,2543
"Marion County, AL",1093,79.90%,2543
"Bradley County, AR",5011,79.90%,2543
"Carter County, MO",29035,79.90%,2543
"McDuffie County, GA",13189,79.90%,2543
"Lawrence County, TN",47099,79.90%,2543
"Wilcox County, AL",1131,79.90%,2543
"Tate County, MS",28137,79.80%,2555
"Jefferson County, FL",12065,79.80%,2555
"Roosevelt County, NM",35041,79.80%,2555
"Washington County, FL",12133,79.80%,2555
"Talladega County, AL",1121,79.80%,2555
"Morgan County, TN",47129,79.80%,2555
"Montgomery County, AR",5097,79.80%,2555
"Early County, GA",13099,79.80%,2555
"Jefferson Davis County, MS",28065,79.80%,2555
"Refugio County, TX",48391,79.80%,2555
"Danville Independent City, VA",51590,79.80%,2555
"Union County, SC",45087,79.80%,2555
"Breckinridge County, KY",21027,79.70%,2567
"Washington County, AL",1129,79.70%,2567
"Floyd County, GA",13115,79.70%,2567
"Socorro County, NM",35053,79.70%,2567
"Panola County, MS",28107,79.70%,2567
"Walker County, GA",13295,79.70%,2567
"Hughes County, OK",40063,79.70%,2567
"Winn Parish, LA",22127,79.70%,2567
"Crisp County, GA",13081,79.70%,2567
"Patrick County, VA",51141,79.70%,2567
"Tallapoosa County, AL",1123,79.60%,2577
"Chester County, SC",45023,79.60%,2577
"Burke County, NC",37023,79.60%,2577
"Franklin County, FL",12037,79.60%,2577
"Oglethorpe County, GA",13221,79.60%,2577
"Cherokee County, TX",48073,79.60%,2577
"Hardin County, TN",47071,79.60%,2577
"Barnwell County, SC",45011,79.60%,2577
"Toombs County, GA",13279,79.50%,2585
"Decatur County, GA",13087,79.50%,2585
"Muhlenberg County, KY",21177,79.50%,2585
"Clarendon County, SC",45027,79.50%,2585
"Jackson County, AL",1071,79.50%,2585
"Richland Parish, LA",22083,79.50%,2585
"Carter County, KY",21043,79.50%,2585
"Stonewall County, TX",48433,79.50%,2585
"Adair County, OK",40001,79.50%,2585
"Covington County, MS",28031,79.40%,2594
"Laurens County, SC",45059,79.40%,2594
"Howard County, TX",48227,79.40%,2594
"Conecuh County, AL",1035,79.40%,2594
"Cumberland County, VA",51049,79.40%,2594
"Howard County, AR",5061,79.40%,2594
"Wayne County, WV",54099,79.40%,2594
"Nicholas County, KY",21181,79.40%,2594
"Todd County, SD",46121,79.30%,2602
"Wright County, MO",29229,79.30%,2602
"Spalding County, GA",13255,79.30%,2602
"Pike County, MS",28113,79.30%,2602
"Trousdale County, TN",47169,79.30%,2602
"Northampton County, VA",51131,79.30%,2602
"Scott County, VA",51169,79.30%,2602
"West Feliciana Parish, LA",22125,79.30%,2602
"Lawrence County, MS",28077,79.30%,2602
"Rusk County, TX",48401,79.30%,2602
"Williamsburg County, SC",45089,79.30%,2602
"Washington County, NC",37187,79.30%,2602
"Page County, VA",51139,79.20%,2614
"Power County, ID",16077,79.20%,2614
"Fayette County, AL",1057,79.20%,2614
"Grayson County, VA",51077,79.20%,2614
"Sutter County, CA",6101,79.20%,2614
"Henry County, VA",51089,79.20%,2614
"Warren County, NC",37185,79.20%,2614
"Boone County, WV",54005,79.20%,2614
"Ohio County, KY",21183,79.20%,2614
"Allen Parish, LA",22003,79.20%,2614
"Live Oak County, TX",48297,79.20%,2614
"Liberty County, MT",30051,79.20%,2614
"Somerset County, MD",24039,79.20%,2614
"Caldwell County, TX",48055,79.10%,2627
"Suwannee County, FL",12121,79.10%,2627
"Liberty County, FL",12077,79.10%,2627
"Northwest Arctic Borough, AK",2188,79.10%,2627
"Clay County, AR",5021,79.10%,2627
"Monroe County, TN",47123,79.10%,2627
"Lincoln County, WV",54043,79.10%,2627
"Upson County, GA",13293,79.10%,2627
"St. Martin Parish, LA",22099,79.10%,2627
"Martinsville Independent City, VA",51690,79.10%,2627
"Okfuskee County, OK",40107,79.10%,2627
"Grayson County, KY",21085,79.10%,2627
"Lincoln County, AR",5079,79.10%,2627
"Miller County, GA",13201,79.00%,2640
"Carroll County, TN",47017,79.00%,2640
"Jefferson Davis Parish, LA",22053,79.00%,2640
"Dallas County, AL",1047,79.00%,2640
"Graham County, NC",37075,79.00%,2640
"Johnson County, AR",5071,79.00%,2640
"Halifax County, VA",51083,79.00%,2640
"Polk County, TN",47139,79.00%,2640
"Brooks County, GA",13027,79.00%,2640
"St. Helena Parish, LA",22091,79.00%,2640
"Avery County, NC",37011,79.00%,2640
"Dona Ana County, NM",35013,79.00%,2640
"Dent County, MO",29065,78.90%,2652
"Bennett County, SD",46007,78.90%,2652
"Menard County, TX",48327,78.90%,2652
"Jack County, TX",48237,78.90%,2652
"Heard County, GA",13149,78.90%,2652
"Meigs County, TN",47121,78.90%,2652
"Limestone County, TX",48293,78.90%,2652
"Choctaw County, AL",1023,78.90%,2652
"Gadsden County, FL",12039,78.80%,2660
"McPherson County, SD",46089,78.80%,2660
"Clay County, MS",28025,78.80%,2660
"Runnels County, TX",48399,78.80%,2660
"San Bernardino County, CA",6071,78.80%,2660
"Bollinger County, MO",29017,78.80%,2660
"Tazewell County, VA",51185,78.80%,2660
"Cocke County, TN",47029,78.80%,2660
"Baker County, GA",13007,78.80%,2660
"Coffee County, GA",13069,78.70%,2669
"Poinsett County, AR",5111,78.70%,2669
"Taylor County, FL",12123,78.70%,2669
"Logan County, KY",21141,78.70%,2669
"Petersburg Independent City, VA",51730,78.70%,2669
"Hemphill County, TX",48211,78.70%,2669
"Hempstead County, AR",5057,78.70%,2669
"Washington County, GA",13303,78.60%,2676
"Marshall County, AL",1095,78.60%,2676
"Warren County, TN",47177,78.60%,2676
"Neshoba County, MS",28099,78.60%,2676
"Glascock County, GA",13125,78.60%,2676
"Talbot County, GA",13263,78.60%,2676
"Monroe County, MS",28095,78.60%,2676
"Scotland County, NC",37165,78.60%,2676
"Walker County, AL",1127,78.60%,2676
"Wayne County, TN",47181,78.50%,2685
"Jefferson County, MS",28063,78.50%,2685
"Tishomingo County, MS",28141,78.50%,2685
"Crawford County, IA",19047,78.50%,2685
"Dickens County, TX",48125,78.50%,2685
"Webster County, KY",21233,78.50%,2685
"Marshall County, MS",28093,78.50%,2685
"Elbert County, GA",13105,78.50%,2685
"Bladen County, NC",37017,78.40%,2693
"Lincoln County, ID",16063,78.40%,2693
"Marion County, GA",13197,78.40%,2693
"Jasper County, SC",45053,78.40%,2693
"Overton County, TN",47133,78.40%,2693
"Putnam County, FL",12107,78.40%,2693
"Union County, NM",35059,78.40%,2693
"Jackson County, FL",12063,78.40%,2693
"Waller County, TX",48473,78.40%,2693
"Jeff Davis County, GA",13161,78.40%,2693
"Yalobusha County, MS",28161,78.40%,2693
"Doddridge County, WV",54017,78.30%,2705
"Crenshaw County, AL",1041,78.30%,2705
"Kent County, TX",48263,78.30%,2705
"Marion County, TN",47115,78.30%,2705
"San Benito County, CA",6069,78.30%,2705
"Haralson County, GA",13143,78.30%,2705
"St. Mary Parish, LA",22101,78.30%,2705
"Habersham County, GA",13137,78.30%,2705
"Crawford County, MO",29055,78.30%,2705
"Northampton County, NC",37131,78.30%,2705
"Holmes County, FL",12059,78.30%,2705
"Abbeville County, SC",45001,78.30%,2705
"Cherokee County, SC",45021,78.20%,2717
"Apache County, AZ",4001,78.20%,2717
"Pershing County, NV",32027,78.20%,2717
"Russell County, VA",51167,78.20%,2717
"Buena Vista County, IA",19021,78.20%,2717
"Adams County, OH",39001,78.20%,2717
"Lanier County, GA",13173,78.20%,2717
"Ripley County, MO",29181,78.20%,2717
"McDonald County, MO",29119,78.20%,2717
"Monroe County, AR",5095,78.20%,2717
"Hockley County, TX",48219,78.20%,2717
"Roane County, WV",54087,78.20%,2717
"Pike County, OH",39131,78.10%,2729
"Yadkin County, NC",37197,78.10%,2729
"Chaves County, NM",35005,78.10%,2729
"Wyandotte County, KS",20209,78.10%,2729
"Saluda County, SC",45081,78.10%,2729
"Tunica County, MS",28143,78.10%,2729
"San Patricio County, TX",48409,78.10%,2729
"Cumberland County, KY",21057,78.10%,2729
"Lawrence County, IL",17101,78.10%,2729
"Newberry County, SC",45071,78.10%,2729
"Winston County, MS",28159,78.00%,2739
"Dallas County, TX",48113,78.00%,2739
"Wharton County, TX",48481,78.00%,2739
"Wilbarger County, TX",48487,78.00%,2739
"San Joaquin County, CA",6077,78.00%,2739
"St. Francis County, AR",5123,78.00%,2739
"DeKalb County, TN",47041,78.00%,2739
"Minidoka County, ID",16067,78.00%,2739
"Wilkes County, GA",13317,77.90%,2747
"Oglala Lakota, SD",46102,77.90%,2747
"Webster County, GA",13307,77.90%,2747
"Lynn County, TX",48305,77.90%,2747
"Copiah County, MS",28029,77.90%,2747
"Yell County, AR",5149,77.90%,2747
"Jenkins County, GA",13165,77.80%,2753
"Emanuel County, GA",13107,77.80%,2753
"Marion County, MS",28091,77.80%,2753
"Terrebonne Parish, LA",22109,77.80%,2753
"Laurel County, KY",21125,77.80%,2753
"Morgan County, MO",29141,77.80%,2753
"Iberia Parish, LA",22045,77.80%,2753
"Kemper County, MS",28069,77.80%,2753
"Dixie County, FL",12029,77.80%,2753
"Grimes County, TX",48185,77.80%,2753
"Sumter County, GA",13261,77.80%,2753
"Matagorda County, TX",48321,77.70%,2764
"Los Angeles County, CA",6037,77.70%,2764
"Tillman County, OK",40141,77.70%,2764
"Johnson County, KY",21115,77.70%,2764
"Geneva County, AL",1061,77.70%,2764
"Logan County, WV",54045,77.70%,2764
"Lawrence County, KY",21127,77.70%,2764
"Claiborne Parish, LA",22027,77.60%,2771
"Stanislaus County, CA",6099,77.60%,2771
"Lee County, SC",45061,77.60%,2771
"Surry County, NC",37171,77.60%,2771
"Butler County, KY",21031,77.60%,2771
"Claiborne County, MS",28021,77.60%,2771
"Madison County, TX",48313,77.60%,2771
"Caldwell County, NC",37027,77.60%,2771
"Bamberg County, SC",45009,77.50%,2779
"Lawrence County, AL",1079,77.50%,2779
"Coahoma County, MS",28027,77.50%,2779
"Lincoln County, KY",21137,77.50%,2779
"Buckingham County, VA",51029,77.50%,2779
"Kearny County, KS",20093,77.50%,2779
"Briscoe County, TX",48045,77.50%,2779
"McCulloch County, TX",48307,77.50%,2779
"Buffalo County, SD",46017,77.50%,2779
"Leflore County, MS",28083,77.50%,2779
"Iberville Parish, LA",22047,77.40%,2789
"Worth County, GA",13321,77.40%,2789
"Kleberg County, TX",48273,77.40%,2789
"Wilcox County, GA",13315,77.40%,2789
"Lamar County, AL",1075,77.40%,2789
"Edgecombe County, NC",37065,77.40%,2789
"Wyoming County, WV",54109,77.40%,2789
"Whitley County, KY",21235,77.40%,2789
"Cumberland County, NJ",34011,77.30%,2797
"Burke County, GA",13033,77.30%,2797
"Scott County, TN",47151,77.30%,2797
"Martin County, TX",48317,77.30%,2797
"Fulton County, KY",21075,77.30%,2797
"Pickett County, TN",47137,77.30%,2797
"Hall County, GA",13139,77.30%,2797
"Walthall County, MS",28147,77.30%,2797
"Grenada County, MS",28043,77.30%,2797
"Brunswick County, VA",51025,77.30%,2797
"Nobles County, MN",27105,77.30%,2797
"Fentress County, TN",47049,77.30%,2797
"Charles City County, VA",51036,77.30%,2797
"Randolph County, AL",1111,77.30%,2797
"Jones County, TX",48253,77.30%,2797
"Treutlen County, GA",13283,77.20%,2812
"Claiborne County, TN",47025,77.20%,2812
"Butts County, GA",13035,77.20%,2812
"Powell County, KY",21197,77.20%,2812
"Jasper County, GA",13159,77.20%,2812
"Hickman County, TN",47081,77.20%,2812
"Tippah County, MS",28139,77.20%,2812
"Stephens County, TX",48429,77.10%,2819
"Grady County, GA",13131,77.10%,2819
"Meriwether County, GA",13199,77.10%,2819
"Evans County, GA",13109,77.10%,2819
"Concordia Parish, LA",22029,77.10%,2819
"Hardeman County, TN",47069,77.00%,2824
"Menifee County, KY",21165,77.00%,2824
"Collingsworth County, TX",48087,77.00%,2824
"Catahoula Parish, LA",22025,77.00%,2824
"Green County, KY",21087,77.00%,2824
"Harmon County, OK",40057,77.00%,2824
"Ward County, TX",48475,77.00%,2824
"Costilla County, CO",8023,77.00%,2824
"Edmonson County, KY",21061,77.00%,2824
"Washington County, MO",29221,77.00%,2824
"Greene County, AL",1063,76.90%,2834
"Hidalgo County, NM",35023,76.90%,2834
"Attala County, MS",28007,76.90%,2834
"Quitman County, GA",13239,76.90%,2834
"Houston County, TN",47083,76.90%,2834
"Calhoun County, WV",54013,76.90%,2834
"Emporia Independent City, VA",51595,76.90%,2834
"Washington County, MS",28151,76.90%,2834
"Union County, TN",47173,76.90%,2834
"Todd County, KY",21219,76.90%,2834
"Calhoun County, FL",12013,76.90%,2834
"Wilkes County, NC",37193,76.90%,2834
"Fleming County, KY",21069,76.80%,2846
"Halifax County, NC",37083,76.80%,2846
"Bradford County, FL",12007,76.80%,2846
"Navarro County, TX",48349,76.80%,2846
"Pontotoc County, MS",28115,76.70%,2850
"Rockcastle County, KY",21203,76.70%,2850
"Tensas Parish, LA",22107,76.70%,2850
"Leake County, MS",28079,76.70%,2850
"Sutton County, TX",48435,76.60%,2854
"Yazoo County, MS",28163,76.60%,2854
"Jackson County, AR",5067,76.60%,2854
"Chesterfield County, SC",45025,76.60%,2854
"Franklin County, GA",13119,76.60%,2854
"Greensville County, VA",51081,76.60%,2854
"Amite County, MS",28005,76.60%,2854
"Jackson County, TN",47087,76.60%,2854
"Wheeler County, GA",13309,76.60%,2854
"Galax Independent City, VA",51640,76.60%,2854
"Mitchell County, GA",13205,76.60%,2854
"Stone County, AR",5137,76.50%,2865
"Crockett County, TN",47033,76.50%,2865
"Karnes County, TX",48255,76.50%,2865
"Washington Parish, LA",22117,76.50%,2865
"El Paso County, TX",48141,76.50%,2865
"Potter County, TX",48375,76.40%,2870
"Clinch County, GA",13065,76.40%,2870
"Carroll County, KY",21041,76.40%,2870
"Scott County, AR",5127,76.40%,2870
"Allen County, KY",21003,76.40%,2870
"Terrell County, TX",48443,76.40%,2870
"Robeson County, NC",37155,76.40%,2870
"Phillips County, AR",5107,76.40%,2870
"Perry County, AL",1105,76.40%,2870
"Montgomery County, NC",37123,76.40%,2870
"Cook County, GA",13075,76.40%,2870
"Appling County, GA",13001,76.40%,2870
"Prentiss County, MS",28117,76.40%,2870
"Union County, MS",28145,76.40%,2870
"Gooding County, ID",16047,76.30%,2884
"Vance County, NC",37181,76.30%,2884
"Clay County, TN",47027,76.30%,2884
"Schleicher County, TX",48413,76.30%,2884
"Johnson County, TN",47091,76.30%,2884
"Benton County, MS",28009,76.20%,2889
"Liberty County, TX",48291,76.20%,2889
"Taylor County, GA",13269,76.10%,2891
"Desha County, AR",5041,76.10%,2891
"St. Landry Parish, LA",22097,76.10%,2891
"Jackson County, KY",21109,76.00%,2894
"Reynolds County, MO",29179,76.00%,2894
"Metcalfe County, KY",21169,76.00%,2894
"Winston County, AL",1133,76.00%,2894
"Vermilion Parish, LA",22113,76.00%,2894
"Calhoun County, GA",13037,76.00%,2894
"Adair County, KY",21001,76.00%,2894
"Wheatland County, MT",30107,75.90%,2901
"Dawson County, NE",31047,75.90%,2901
"Ochiltree County, TX",48357,75.90%,2901
"New Madrid County, MO",29143,75.90%,2901
"Rhea County, TN",47143,75.90%,2901
"Guadalupe County, NM",35019,75.90%,2901
"Caldwell Parish, LA",22021,75.90%,2901
"Elliott County, KY",21063,75.80%,2908
"Itawamba County, MS",28057,75.80%,2908
"Gray County, KS",20069,75.80%,2908
"Floyd County, KY",21071,75.80%,2908
"La Salle Parish, LA",22059,75.80%,2908
"Lunenburg County, VA",51111,75.80%,2908
"Estill County, KY",21065,75.70%,2914
"Macon County, TN",47111,75.70%,2914
"Sampson County, NC",37163,75.70%,2914
"Polk County, GA",13233,75.70%,2914
"Hancock County, TN",47067,75.70%,2914
"Falls County, TX",48145,75.70%,2914
"Bath County, KY",21011,75.70%,2914
"Franklin County, AL",1059,75.70%,2914
"Hardeman County, TX",48197,75.60%,2922
"Wayne County, MS",28153,75.60%,2922
"West Carroll Parish, LA",22123,75.60%,2922
"Woodruff County, AR",5147,75.50%,2925
"Lauderdale County, TN",47097,75.50%,2925
"Acadia Parish, LA",22001,75.50%,2925
"Banks County, GA",13011,75.40%,2928
"Turner County, GA",13287,75.40%,2928
"Lee County, VA",51105,75.40%,2928
"Hale County, TX",48189,75.40%,2928
"Gordon County, GA",13129,75.40%,2928
"Upton County, TX",48461,75.40%,2928
"Shelby County, TX",48419,75.40%,2928
"Lafourche Parish, LA",22057,75.30%,2935
"Atascosa County, TX",48013,75.30%,2935
"Wayne County, MO",29223,75.30%,2935
"Candler County, GA",13043,75.30%,2935
"Wise County, VA",51195,75.20%,2939
"Perry County, TN",47135,75.20%,2939
"Monroe County, KY",21171,75.20%,2939
"Greene County, MS",28041,75.20%,2939
"Hickman County, KY",21105,75.20%,2939
"La Paz County, AZ",4012,75.20%,2939
"Glasscock County, TX",48173,75.20%,2939
"Caswell County, NC",37033,75.10%,2946
"Grant County, WA",53025,75.10%,2946
"Morrow County, OR",41049,75.10%,2946
"Greene County, NC",37079,75.10%,2946
"Edwards County, TX",48137,75.10%,2946
"Ector County, TX",48135,75.10%,2946
"Letcher County, KY",21133,75.10%,2946
"Pike County, KY",21195,75.00%,2953
"Jerome County, ID",16053,75.00%,2953
"Alexander County, IL",17003,75.00%,2953
"Hamilton County, FL",12047,75.00%,2953
"Owyhee County, ID",16073,75.00%,2953
"Montgomery County, MS",28097,74.90%,2958
"Nottoway County, VA",51135,74.90%,2958
"Robertson County, KY",21201,74.90%,2958
"Perry County, KY",21193,74.90%,2958
"Jim Hogg County, TX",48247,74.90%,2958
"Lowndes County, AL",1085,74.80%,2963
"Bolivar County, MS",28011,74.80%,2963
"Pemiscot County, MO",29155,74.80%,2963
"Bertie County, NC",37015,74.80%,2963
"Santa Cruz County, AZ",4023,74.80%,2963
"Mitchell County, TX",48335,74.80%,2963
"Lafayette County, FL",12067,74.80%,2963
"Lewis County, KY",21135,74.80%,2963
"Daviess County, IN",18027,74.70%,2971
"Sharkey County, MS",28125,74.70%,2971
"Loving County, TX",48301,74.60%,2973
"Bledsoe County, TN",47007,74.60%,2973
"Clay County, AL",1027,74.60%,2973
"Allendale County, SC",45005,74.60%,2973
"Calhoun County, MS",28013,74.60%,2973
"Hart County, KY",21099,74.60%,2973
"San Saba County, TX",48411,74.50%,2979
"Dooly County, GA",13093,74.50%,2979
"Marlboro County, SC",45069,74.50%,2979
"Jefferson County, GA",13163,74.50%,2979
"Madison Parish, LA",22065,74.40%,2983
"Holmes County, MS",28051,74.40%,2983
"Glades County, FL",12043,74.40%,2983
"Campbell County, TN",47013,74.40%,2983
"Union County, FL",12125,74.40%,2983
"Sherman County, TX",48421,74.30%,2988
"Dakota County, NE",31043,74.30%,2988
"Johnson County, GA",13167,74.30%,2988
"Cleburne County, AL",1029,74.20%,2991
"Lamb County, TX",48279,74.20%,2991
"Dawson County, TX",48115,74.10%,2993
"Franklin Parish, LA",22041,74.10%,2993
"Tattnall County, GA",13267,74.10%,2993
"Grundy County, TN",47061,74.00%,2996
"Hansford County, TX",48195,74.00%,2996
"Mingo County, WV",54059,73.90%,2998
"Dunklin County, MO",29069,73.90%,2998
"Webster County, WV",54101,73.90%,2998
"Dickenson County, VA",51051,73.80%,3001
"Andrews County, TX",48003,73.80%,3001
"McKinley County, NM",35031,73.80%,3001
"Fresno County, CA",6019,73.80%,3001
"Barbour County, AL",1005,73.80%,3001
"Warren County, GA",13301,73.70%,3006
"Russell County, KY",21207,73.70%,3006
"Crockett County, TX",48105,73.70%,3006
"Kern County, CA",6029,73.60%,3009
"Franklin County, WA",53021,73.60%,3009
"Jim Wells County, TX",48249,73.40%,3011
"Morgan County, KY",21175,73.40%,3011
"Casey County, KY",21045,73.40%,3011
"Terrell County, GA",13273,73.30%,3014
"Avoyelles Parish, LA",22009,73.20%,3015
"Floyd County, TX",48153,73.20%,3015
"Lake County, TN",47095,73.10%,3017
"Tyrrell County, NC",37177,73.00%,3018
"Coosa County, AL",1037,72.90%,3019
"Hancock County, GA",13141,72.90%,3019
"Chickasaw County, MS",28017,72.90%,3019
"Kings County, CA",6031,72.90%,3019
"Mississippi County, MO",29133,72.80%,3023
"Scott County, MS",28123,72.80%,3023
"Crane County, TX",48103,72.80%,3023
"Dillon County, SC",45033,72.80%,3023
"Dallam County, TX",48111,72.70%,3027
"Telfair County, GA",13271,72.70%,3027
"Assumption Parish, LA",22007,72.70%,3027
"DeKalb County, AL",1049,72.60%,3030
"Gonzales County, TX",48177,72.50%,3031
"Sunflower County, MS",28133,72.50%,3031
"Colquitt County, GA",13071,72.50%,3031
"Martin County, KY",21159,72.50%,3031
"Glenn County, CA",6021,72.50%,3031
"Chattooga County, GA",13055,72.50%,3031
"Yakima County, WA",53077,72.50%,3031
"Crosby County, TX",48107,72.30%,3038
"Sussex County, VA",51183,72.30%,3038
"Cottle County, TX",48101,72.20%,3040
"McCreary County, KY",21147,72.20%,3040
"Macon County, GA",13193,72.20%,3040
"Finney County, KS",20055,72.10%,3043
"Titus County, TX",48449,72.10%,3043
"Hall County, TX",48191,72.10%,3043
"Duplin County, NC",37061,72.00%,3046
"Clay County, WV",54015,72.00%,3046
"Okeechobee County, FL",12093,71.90%,3048
"Deaf Smith County, TX",48117,71.80%,3049
"Lea County, NM",35025,71.80%,3049
"Texas County, OK",40139,71.70%,3051
"Yuma County, AZ",4027,71.70%,3051
"Knott County, KY",21119,71.70%,3051
"Madera County, CA",6039,71.70%,3051
"Reagan County, TX",48383,71.50%,3055
"Colfax County, NE",31037,71.50%,3055
"Breathitt County, KY",21025,71.40%,3057
"Yoakum County, TX",48501,71.40%,3057
"Bee County, TX",48025,71.40%,3057
"Harlan County, KY",21095,71.40%,3057
"Evangeline Parish, LA",22039,71.30%,3061
"Clinton County, KY",21053,71.20%,3062
"Ford County, KS",20057,71.20%,3062
"Bronx County, NY",36005,71.20%,3062
"Haskell County, KS",20081,71.00%,3065
"Monterey County, CA",6053,70.90%,3066
"Wayne County, KY",21231,70.80%,3067
"Randolph County, GA",13243,70.70%,3068
"DeSoto County, FL",12027,70.50%,3069
"Castro County, TX",48069,70.50%,3069
"East Carroll Parish, LA",22035,70.40%,3071
"Brooks County, TX",48047,70.40%,3071
"Grant County, KS",20067,70.30%,3073
"Owsley County, KY",21189,70.20%,3074
"Buchanan County, VA",51027,70.00%,3075
"Cochran County, TX",48079,70.00%,3075
"Knox County, KY",21121,70.00%,3075
"Sevier County, AR",5133,69.60%,3078
"Clark County, ID",16033,69.50%,3079
"Wolfe County, KY",21237,69.50%,3079
"Wilkinson County, MS",28157,69.40%,3081
"Magoffin County, KY",21153,69.40%,3081
"Luna County, NM",35029,69.30%,3083
"Uvalde County, TX",48463,69.30%,3083
"Lee County, AR",5077,69.30%,3083
"Twiggs County, GA",13289,69.20%,3086
"Terry County, TX",48445,69.20%,3086
"Noxubee County, MS",28103,69.00%,3088
"Whitfield County, GA",13313,68.90%,3089
"Hardee County, FL",12049,68.90%,3089
"Pecos County, TX",48371,68.80%,3091
"Murray County, GA",13213,68.80%,3091
"Parmer County, TX",48369,68.60%,3093
"Merced County, CA",6047,68.60%,3093
"Haskell County, TX",48207,68.50%,3095
"Tulare County, CA",6107,68.20%,3096
"Bell County, KY",21013,68.10%,3097
"Winkler County, TX",48495,68.10%,3097
"Colusa County, CA",6011,68.10%,3097
"Lee County, KY",21129,67.90%,3100
"Atkinson County, GA",13003,67.90%,3100
"Bailey County, TX",48017,67.60%,3102
"Quitman County, MS",28119,67.60%,3102
"Tallahatchie County, MS",28135,67.30%,3104
"Taliaferro County, GA",13265,67.20%,3105
"Kinney County, TX",48271,67.20%,3105
"Duval County, TX",48131,67.10%,3107
"Imperial County, CA",6025,67.00%,3108
"Echols County, GA",13101,67.00%,3108
"Val Verde County, TX",48465,66.90%,3110
"Dimmit County, TX",48127,66.60%,3111
"Bullock County, AL",1011,66.60%,3111
"Issaquena County, MS",28055,66.50%,3113
"Adams County, WA",53001,66.10%,3114
"Webb County, TX",48479,65.70%,3115
"Cameron County, TX",48061,65.60%,3116
"Seward County, KS",20175,65.30%,3117
"Humphreys County, MS",28053,65.30%,3117
"McDowell County, WV",54047,64.90%,3119
"Culberson County, TX",48109,64.90%,3119
"LaGrange County, IN",18087,64.30%,3121
"Moore County, TX",48341,63.90%,3122
"La Salle County, TX",48283,63.70%,3123
"Leslie County, KY",21131,63.70%,3123
"Clay County, KY",21051,63.70%,3123
"Hidalgo County, TX",48215,63.30%,3126
"Willacy County, TX",48489,63.10%,3127
"Hendry County, FL",12051,62.90%,3128
"Frio County, TX",48163,62.80%,3129
"Stewart County, GA",13259,62.10%,3130
"Concho County, TX",48095,61.40%,3131
"Reeves County, TX",48389,61.00%,3132
"Gaines County, TX",48165,60.40%,3133
"Zavala County, TX",48507,59.20%,3134
"Maverick County, TX",48323,58.70%,3135
"Holmes County, OH",39075,58.50%,3136
"Kenedy County, TX",48261,57.60%,3137
"Garza County, TX",48169,57.00%,3138
"Presidio County, TX",48377,56.80%,3139
"Hudspeth County, TX",48229,52.20%,3140
"Zapata County, TX",48505,50.30%,3141
"Starr County, TX",48427,48.50%,3142
